year,criteria,An Giang,Bà Rịa - Vũng Tàu,Bình Dương,Bình Phước,Bình Thuận,Bình Định,Bạc Liêu,Bắc Giang,Bắc Kạn,Bắc Ninh,Bến Tre,Cao Bằng,Cà Mau,Cần Thơ,Gia Lai,Hà Giang,Hà Nam,Hà Nội,Hà Tĩnh,Hòa Bình,Hưng Yên,Hải Dương,Hải Phòng,Hậu Giang,Khánh Hòa,Kiên Giang,Kon Tum,Lai Châu,Long An,Lào Cai,Lâm Đồng,Lạng Sơn,Nam Định,Nghệ An,Ninh Bình,Ninh Thuận,Phú Thọ,Phú Yên,Quảng Bình,Quảng Nam,Quảng Ngãi,Quảng Ninh,Quảng Trị,Sóc Trăng,Sơn La,TP. Hồ Chí Minh,Thanh Hóa,Thái Bình,Thái Nguyên,Thừa Thiên Huế,Tiền Giang,Trà Vinh,Tuyên Quang,Tây Ninh,Vĩnh Long,Vĩnh Phúc,Yên Bái,Điện Biên,Đà Nẵng,Đắk Lắk,Đắk Nông,Đồng Nai,Đồng Tháp
2014,Average population(thousand),2155.8,1059.5,1873.6,932.5,1207.4,1514.5,877.9,1624.5,307.3,1131.2,1262.2,520.2,1216.4,1238.3,1377.8,788.8,799.4,7095.9,1255.3,817.4,1158.1,1763.2,1946,768.4,1196.9,1745.5,484.2,415.3,1477.3,665.2,1259.3,753.7,1845.6,3037.4,935.8,590.4,1360.2,887.4,868.2,1471.8,1241.4,1199.4,616.4,1307.7,1166.4,7981.9,3496.1,1788.7,1173.2,1131.8,1716.1,1029.3,753.8,1104.2,1041.5,1041.9,783.5,538.1,1007.7,1833.3,571.3,2838.6,1681.3
2014,Population density(person/km2),610,533,695,136,155,250,356,422,63,1375,535,78,230,879,89,100,927,2134,209,177,1251,1065,1274,480,229,275,50,46,329,104,129,91,1116,184,679,176,385,175,108,141,241,197,130,395,82,3809,314,1139,332,225,684,440,128,274,685,842,114,56,784,140,88,481,498
2015,Area(km2),3536.7,1989.5,2694.4,6871.5,7813.1,6050.6,2468.7,3849.5,4859.4,822.7,2359.8,6703.4,5294.9,1408.9,15536.9,7914.9,862,3324.5,5997.8,4608.7,926,1656,1527.4,1602.4,5217.7,6348.5,9689.6,9068.8,4495,6383.9,9773.5,8320.8,1653.2,16490,1377.6,3358.3,3533.3,5060.6,8065.3,10438.4,5152.7,6102.3,4739.8,3311.6,14174.4,2095.5,11129.5,1570.8,3533.2,5033.2,2509.3,2341.2,5867.3,4032.6,1520.2,1237.5,6886.3,9562.9,1285.4,13125.4,6515.6,5907.2,3378.8
2015,Average population(thousand),2158.3,1072.6,1947.2,944.4,1215.2,1519.7,882,1640.9,313.1,1154.7,1263.7,522.4,1218.9,1248,1397.4,802,802.7,7216,1261.3,824.3,1164.4,1774.5,1963.3,770.4,1205.3,1761,495.9,425.1,1484.7,674.5,1273.1,757.9,1850.6,3063.9,944.4,595.9,1369.7,893.4,872.9,1480.3,1246.4,1211.3,619.9,1310.7,1182.4,8146.3,3514.2,1789.2,1190.6,1140.7,1728.7,1034.6,760.3,1111.5,1045,1054.5,792.7,547.8,1028.8,1853.7,587.8,2905.8,1684.3
2015,Population density(person/km2),610,539,723,137,156,251,357,426,64,1404,536,78,230,886,90,101,931,2171,210,179,1257,1072,1285,481,231,277,51,47,330,106,130,91,1119,186,686,177,388,177,108,142,242,199,131,396,83,3888,316,1139,337,227,689,442,130,276,687,852,115,57,800,141,90,492,498
2016,Area(km2),3536.7,1980.8,2694.7,6876.6,7944,6066.1,2669.1,3895.5,4860,822.8,2394.6,6700.2,5221.2,1439.2,15510.8,7929.2,862,3358.9,5990.6,4590.7,930.3,1668.3,1561.7,1621.8,5137.7,6348.7,9674.2,9069.5,4494.8,6364,9783.2,8310.2,1668.5,16481.7,1386.8,3355.2,3534.4,5023.5,8000.1,10575,5152.3,6177.7,4621.8,3311.9,14123.5,2061.4,11114.5,1586.5,3526.7,4902.4,2510.5,2358.2,5867.9,4041.4,1525.6,1235.3,6887.6,9540.9,1284.7,13030.5,6509.3,5863.6,3384
2016,Average population(thousand),2159.9,1092,1995.8,956.4,1222.7,1524.6,886.2,1657.6,319,1178.6,1265.2,529.8,1222.6,1257.9,1417.3,816.1,803.7,7328.4,1266.7,831.3,1170.2,1785.8,1980.8,772.5,1213.8,1776.7,507.8,436,1490.6,684.3,1288.2,768.7,1852.6,3105.5,953.1,601.4,1381.7,899.4,877.7,1487.7,1251.5,1224.6,623.5,1312.5,1208,8297.5,3528.3,1790,1227.4,1149.8,1740.2,1040.5,766.9,1118.8,1048.6,1066,800.1,557.4,1046.2,1874.5,605.4,2963.8,1687.3
2016,Population density(person/km2),611,551,741,139,154,251,332,426,66,1432,528,79,234,874,91,103,932,2182,211,181,1258,1070,1268,476,236,280,52,48,332,108,132,92,1110,188,687,179,391,179,110,141,243,198,135,396,86,4025,317,1128,348,235,693,441,131,277,687,863,116,58,814,144,93,505,499
2017,Area(km2),3536.7,1981,2694.6,6876.8,7943.9,6066.2,2669,3895.5,4860,822.7,2394.7,6700.3,5221.2,1439,15511,7929.5,861.9,3358.6,5990.7,4590.6,930.2,1668.2,1561.8,1621.7,5137.8,6348.8,9674.2,9068.8,4494.9,6364,9783.3,8310.1,1668.5,16481.6,1386.8,3355.3,3534.6,5023.4,8000,10574.7,5152.5,6177.8,4621.7,3311.9,14123.5,2061.2,11114.7,1586.3,3526.6,4902.5,2510.6,2358.3,5867.9,4041.3,1525.7,1235.2,6887.7,9541.3,1284.9,13030.5,6509.3,5863.6,3383.8
2017,Average population(thousand),2161.7,1101.6,2071,968.9,1230.4,1529,894.3,1674.4,323.2,1215.2,1266.7,535.4,1226.3,1272.8,1437.4,833.5,805.7,7420.1,1272.2,838.8,1176.3,1797.3,1997.7,774.6,1222.2,1792.6,520,446.1,1496.8,694.4,1298.9,778.4,1853.3,3131.3,961.9,607,1392.9,904.4,882.5,1493.8,1261.6,1243.6,627.3,1314.3,1228.9,8444.6,3544.4,1791.5,1255.1,1154.3,1751.8,1045.6,773.5,1126.2,1050.2,1079.5,807.3,567,1064.1,1896.6,625.6,3027.3,1690.3
