provinceName,population,popOverEighteen,totalOnceInjected,totalTwiceInjected,totalInjected,totalVaccineAllocated,totalVaccineAllocatedReality
An Giang,1908352,1457127,1470652,1211568,2682220,2606158,3041932
Bà Rịa - Vũng Tàu,1148313,891244,1002283,808156,1810439,1563924,1975910
Bình Dương,2426561,2381252,2439936,1764992,4204928,3550283,4713970
Bình Phước,994679,758594,821685,574077,1395762,1285789,1469560
Bình Thuận,1230808,865494,870658,573187,1443845,1592509,1701850
Bình Định,1486918,1110818,912435,490999,1403434,1966752,1902530
Bạc Liêu,907236,675288,643473,426630,1070103,1275056,1211190
Bắc Giang,1803950,1267538,1264975,782769,2047744,2408322,2150960
Bắc Kạn,313905,222390,195671,119057,314728,409198,331470
Bắc Ninh,1368840,985257,1144309,811512,1955821,1871988,1812860
Bến Tre,1288463,980652,996802,672912,1669714,1863239,1804020
Cao Bằng,530341,368973,317017,197898,514915,678910,527060
Cà Mau,1194476,857571,861148,795176,1656324,1629385,1619130
Cần Thơ,1235171,941769,1000926,804289,1805215,1789361,2253568
Gia Lai,1513847,956614,843206,431582,1274788,1760170,1749032
Hà Giang,854679,592774,469251,230128,699379,1145979,1093720
Hà Nam,852800,612219,638956,539604,1178560,1126483,1172570
Hà Nội,8053664,6200000,6562507,5543051,12105558,11376541,12090112
Hà Tĩnh,1288866,892702,773484,417981,1191465,1642572,1185050
Hòa Bình,854131,680000,516559,375841,892400,1100234,1011020
Hưng Yên,1252731,992340,826158,587415,1413573,1705117,1645622
Hải Dương,1892254,1367571,1108595,618421,1727016,2598385,1972990
Hải Phòng,1837173,1580000,1668072,1254897,2922969,2857279,2708900
Hậu Giang,733017,536163,603788,497514,1101302,1018710,1190250
Khánh Hòa,1231107,901731,1040140,896242,1936382,1695222,1886770
Kiên Giang,1723067,1248338,1277803,884235,2162038,2371842,2931680
Kon Tum,540438,372446,326413,221481,547894,611388,597800
Lai Châu,460196,282600,282370,222994,505364,496261,494440
Long An,1688547,1361733,1584732,1414924,2999656,2397297,2939500
Lào Cai,730420,518028,492334,392606,884940,856325,892600
Lâm Đồng,1296606,901167,964997,815113,1780110,1642299,1894274
Lạng Sơn,781655,558242,544497,463610,1008107,1017262,1093820
Nam Định,1780393,1272614,1102097,523051,1625148,2341610,1648880
Nghệ An,3327791,2446902,2024983,1393635,3418618,4267816,3865800
Ninh Bình,982487,695394,619250,469368,1088618,1279525,1210720
Ninh Thuận,590467,428346,465586,343118,808704,739091,892660
Phú Thọ,1463726,1029489,970732,673605,1644337,1894260,1694300
Phú Yên,961152,616333,590316,402138,992454,1171033,1108954
Quảng Bình,895430,611974,526071,252304,778375,1135015,943710
Quảng Nam,1495812,1250469,1010819,327748,1338567,1966932,2149770
Quảng Ngãi,1231697,883502,795729,488279,1284008,1678654,1562604
Quảng Ninh,1320324,1013446,1090998,916791,2007789,1778123,2078208
Quảng Trị,632375,463442,414139,315997,730136,786243,813082
Sóc Trăng,1199653,861361,915786,673918,1589704,1636586,2056160
Sơn La,1248415,792702,625745,217999,843744,1458572,1147180
TP. Hồ Chí Minh,8993082,7208800,8002293,6678298,14680591,13794299,14426540
Thanh Hóa,3640128,2605729,1962215,728252,2690467,4794541,3760590
Thái Bình,1860447,1373070,1104097,534102,1638199,2526449,1847180
Thái Nguyên,1286751,938660,759319,392532,1151851,1693856,1224530
Thừa Thiên Huế,1128620,805048,777725,416967,1194692,1481288,1569826
Tiền Giang,1764185,1488385,1435654,1100981,2536635,2512418,2874370
Trà Vinh,1009168,734794,766419,423462,1189881,1396109,1294910
Tuyên Quang,784811,535735,469348,201330,670678,985752,860410
Tây Ninh,1169165,977624,940633,752640,1693273,1658187,1997400
Vĩnh Long,1022791,769026,842925,678519,1521444,1461149,1674630
Vĩnh Phúc,1154154,789896,769728,482355,1252083,1453409,1409600
Yên Bái,821030,670421,494070,454597,948667,1039328,1007390
Điện Biên,598856,336229,348876,224255,573131,663416,594360
Đà Nẵng,1134310,885070,954062,712475,1666537,1571173,1720782
Đắk Lắk,1869322,1362176,1214401,510116,1724517,2317760,2041610
Đắk Nông,622168,404872,415415,323245,738660,723091,784320
Đồng Nai,3097107,2384309,2763659,2215271,4978930,4256053,4943530
Đồng Tháp,1599504,1181264,1086790,760156,1846946,2244402,2635490
