provinceName,population,popOverEighteen,totalOnceInjected,totalTwiceInjected,totalInjected,totalVaccineAllocated,totalVaccineAllocatedReality
An Giang,1908352,1457127,1454873,1204201,2659074,2606158,2964582
Bà Rịa - Vũng Tàu,1148313,891244,1000756,804072,1804828,1563924,1934960
Bình Dương,2426561,2381252,2372712,1747763,4120475,3550283,4655470
Bình Phước,994679,758594,772426,567735,1340161,1285789,1438610
Bình Thuận,1230808,865494,858706,528301,1387007,1592509,1565050
Bình Định,1486918,1110818,900391,448900,1349291,1966752,1623530
Bạc Liêu,907236,675288,642904,394588,1037492,1275056,1164390
Bắc Giang,1803950,1267538,1209755,820609,2030364,2408322,2098310
Bắc Kạn,313905,222390,193738,109586,303324,409198,319770
Bắc Ninh,1368840,985257,1138335,796372,1934707,1871988,1760210
Bến Tre,1288463,980652,968073,653114,1621187,1863239,1768920
Cao Bằng,530341,368973,308073,188618,496691,678910,504510
Cà Mau,1194476,857571,858847,678502,1537349,1629385,1619130
Cần Thơ,1235171,941769,989615,798312,1787927,1789361,2264068
Gia Lai,1513847,956614,827024,324322,1151346,1760170,1696382
Hà Giang,854679,592774,469251,230128,699379,1145979,1078620
Hà Nam,852800,612219,638956,539604,1178560,1126483,1143320
Hà Nội,8053664,6200000,6481098,5513909,11995007,11376541,11521642
Hà Tĩnh,1288866,892702,737560,389773,1127333,1642572,1099950
Hòa Bình,854131,680000,516559,375841,892400,1100234,931770
Hưng Yên,1252731,992340,826158,572377,1398535,1705117,1575422
Hải Dương,1892254,1367571,1045829,542417,1588246,2598385,1499450
Hải Phòng,1837173,1580000,1682936,805586,2488522,2857279,2638700
Hậu Giang,733017,536163,603788,455867,1059655,1018710,1190250
Khánh Hòa,1231107,901731,1022195,892225,1914420,1695222,1825570
Kiên Giang,1723067,1248338,1257099,884235,2141334,2371842,2693180
Kon Tum,540438,372446,305641,199976,505617,611388,574400
Lai Châu,460196,282600,272933,222945,495878,496261,471040
Long An,1688547,1361733,1563103,1407364,2970467,2397297,2981000
Lào Cai,730420,518028,486473,390535,877008,856325,851650
Lâm Đồng,1296606,901167,964997,815113,1780110,1642299,1847474
Lạng Sơn,781655,558242,542930,462097,1005027,1017262,1070420
Nam Định,1780393,1272614,1095718,487556,1583274,2341610,2133480
Nghệ An,3327791,2446902,1639039,1381767,3020806,4267816,3330750
Ninh Bình,982487,695394,619250,469368,1088618,1279525,1187320
Ninh Thuận,590467,428346,448689,338702,787391,739091,837560
Phú Thọ,1463726,1029489,945422,621096,1566518,1894260,1529600
Phú Yên,961152,616333,587630,371092,958722,1171033,963854
Quảng Bình,895430,611974,514359,222261,736620,1135015,911710
Quảng Nam,1495812,1250469,1001205,315663,1316868,1966932,1420570
Quảng Ngãi,1231697,883502,795538,409777,1205315,1678654,1427504
Quảng Ninh,1320324,1013446,1090998,916791,2007789,1778123,2008008
Quảng Trị,632375,463442,413392,292999,706391,786243,645282
Sóc Trăng,1199653,861361,899020,642604,1541624,1636586,2021060
Sơn La,1248415,792702,575733,181503,757236,1458572,674610
TP. Hồ Chí Minh,8993082,7208800,7927934,6547118,14475052,13794299,14788350
Thanh Hóa,3640128,2605729,1833345,728252,2561597,4794541,2995667
Thái Bình,1860447,1373070,1085759,487245,1573004,2526449,1416190
Thái Nguyên,1286751,938660,742447,364670,1107117,1693856,1124530
Thừa Thiên Huế,1128620,805048,743112,399400,1142512,1481288,1449876
Tiền Giang,1764185,1488385,1425165,1038164,2463329,2512418,2707120
Trà Vinh,1009168,734794,625890,388028,1013918,1396109,1259810
Tuyên Quang,784811,535735,469348,201330,670678,985752,717050
Tây Ninh,1169165,977624,939845,746878,1686723,1658187,2050500
Vĩnh Long,1022791,769026,842013,651791,1493804,1461149,1764630
Vĩnh Phúc,1154154,789896,769728,482355,1252083,1453409,1356950
Yên Bái,821030,670421,494070,454597,948667,1039328,1157290
Điện Biên,598856,336229,319045,132719,451764,663416,464360
Đà Nẵng,1134310,885070,950243,704067,1654310,1571173,1528132
Đắk Lắk,1869322,1362176,1214307,483365,1697672,2317760,1669660
Đắk Nông,622168,404872,396242,303651,699893,723091,700070
Đồng Nai,3097107,2384309,2743186,2213471,4956657,4256053,4954610
Đồng Tháp,1599504,1181264,1169450,760156,1929606,2244402,2588690
