provinceName,population,popOverEighteen,totalOnceInjected,totalTwiceInjected,totalInjected,totalVaccineAllocated,totalVaccineAllocatedReality
An Giang,1908352,1457127,1780115,1691175,5059848,2606158,3112132
Bà Rịa - Vũng Tàu,1148313,891244,1155388,1027236,3039800,1563924,2034410
Bình Dương,2426561,2008929,2795772,2381842,7233613,3550283,4772470
Bình Phước,994679,741800,932755,870267,2688723,1285789,1528060
Bình Thuận,1230808,865494,1096782,1051467,2929066,1592509,1701850
Bình Định,1486918,1110818,1317596,1227319,3760483,1966752,1902530
Bạc Liêu,907236,572580,745662,715310,2232909,1275056,1269690
Bắc Giang,1803950,1280197,1652058,1539448,5466281,2408322,2203610
Bắc Kạn,313905,220169,275983,243587,712025,409198,343170
Bắc Ninh,1368840,985257,1416682,1324593,4228457,1871988,1865510
Bến Tre,1288463,980652,1251764,1217948,3752916,1863239,1882520
Cao Bằng,530341,368973,452584,409658,1222940,678910,550460
Cà Mau,1194476,857571,1044084,1052963,3313526,1629385,1677630
Cần Thơ,1235171,941769,1101641,1488188,3368201,1789361,2132068
Gia Lai,1513847,950154,1333643,1141211,3634825,1760170,1795832
Hà Giang,854679,490008,606356,567833,2009451,1145979,1128820
Hà Nam,852800,612219,732589,694563,2208618,1126483,1213520
Hà Nội,8053664,6200000,6690353,6539964,19040925,11376541,12294742
Hà Tĩnh,1288866,795436,1019712,967890,2875059,1642572,1220150
Hòa Bình,854131,553424,737330,672660,2165479,1100234,1046120
Hưng Yên,1252731,935528,1062900,931097,2921927,1705117,1686572
Hải Dương,1892254,1344063,1669766,1562805,4571543,2598385,2025640
Hải Phòng,1837173,1411495,2105459,1695658,5699337,2857279,2767400
Hậu Giang,733017,536163,683207,655887,2057802,1018710,1190250
Khánh Hòa,1231107,901731,1182629,1123537,3457177,1695222,1886770
Kiên Giang,1723067,1248338,1580085,1472463,4254342,2371842,3001880
Kon Tum,540438,338741,461316,412405,1328077,611388,621200
Lai Châu,460196,282600,381916,346163,1103450,496261,517840
Long An,1688547,1361733,1826413,1737337,5374074,2397297,2998000
Lào Cai,730420,445164,635971,598482,2013325,856325,933550
Lâm Đồng,1296606,901167,1279047,1198311,3854949,1642299,1952774
Lạng Sơn,781655,558242,661752,616921,1898232,1017262,1117220
Nam Định,1780393,1159000,1501419,1346065,4122563,2341610,1772560
Nghệ An,3327791,1960668,2544358,2369204,7804532,4267816,3900900
Ninh Bình,982487,695394,835369,794940,2452906,1279525,1239970
Ninh Thuận,590467,373632,535391,510851,1496827,739091,892660
Phú Thọ,1463726,1029489,1273579,1211238,3665600,1894260,1729400
Phú Yên,961152,649673,785250,712240,2029570,1171033,1108954
Quảng Bình,895430,611974,696353,631723,1942352,1135015,978810
Quảng Nam,1495812,1250469,1291628,1212429,3709231,1966932,2149770
Quảng Ngãi,1231697,723385,1072623,987906,2922563,1678654,1562604
Quảng Ninh,1320324,1013446,1282458,1188378,3943816,1778123,2121498
Quảng Trị,632375,463442,553342,515675,1485193,786243,848182
Sóc Trăng,1199653,861361,1153466,1050165,3553947,1636586,2114660
Sơn La,1248415,786097,1026148,921000,2856476,1458572,1193980
TP. Hồ Chí Minh,8993082,7208800,8355161,7930030,23117024,13794299,14637020
Thanh Hóa,3640128,2393453,3225442,2488284,9297198,4794541,3877590
Thái Bình,1860447,1373070,1473582,1437719,4244451,2526449,1893980
Thái Nguyên,1286751,918061,1199243,1079238,3361656,1693856,1271330
Thừa Thiên Huế,1128620,779911,964891,921951,2802408,1481288,1616626
Tiền Giang,1764185,1488385,1629166,1546513,4792047,2512418,2974320
Trà Vinh,1009168,734794,1005930,765631,2664931,1396109,1353410
Tuyên Quang,784811,535735,662527,617030,1842830,985752,930610
Tây Ninh,1169165,954662,1153366,1056649,3057930,1658187,2055900
Vĩnh Long,1022791,769026,976850,939924,3091815,1461149,1733130
Vĩnh Phúc,1154154,789896,1026202,901522,3007540,1453409,1462250
Yên Bái,821030,510271,709082,656600,2211316,1039328,1034300
Điện Biên,598856,339186,507621,455393,1495668,663416,629460
Đà Nẵng,1134310,885070,1039091,951356,2862101,1571173,1720782
Đắk Lắk,1869322,1266098,1656895,1454857,4432970,2317760,2100110
Đắk Nông,622168,324067,551552,510221,1646214,723091,819420
Đồng Nai,3097107,2306671,3395516,3136376,8587597,4256053,5025430
Đồng Tháp,1599504,1181264,1618572,1471215,4263509,2244402,2705690
