provinceName,population,popOverEighteen,totalOnceInjected,totalTwiceInjected,totalInjected,totalVaccineAllocated,totalVaccineAllocatedReality
An Giang,1908352,1457127,1559095,1506801,3879816,2606158,3112132
Bà Rịa - Vũng Tàu,1148313,891244,1080567,967028,2584145,1563924,2034410
Bình Dương,2426561,2381252,2569052,2089580,4961488,3550283,4772470
Bình Phước,994679,758594,820488,800616,2028260,1285789,1528060
Bình Thuận,1230808,865494,1034018,990289,2378639,1592509,1701850
Bình Định,1486918,1110818,1187206,1139941,2848795,1966752,1902530
Bạc Liêu,907236,572580,656179,642867,1598704,1275056,1269690
Bắc Giang,1803950,1267538,1427441,1378813,3852604,2408322,2203610
Bắc Kạn,313905,222390,240785,232017,513215,409198,343170
Bắc Ninh,1368840,985257,1249152,1185657,3138914,1871988,1865510
Bến Tre,1288463,980652,1128928,1104641,2846009,1863239,1882520
Cao Bằng,530341,368973,392642,365752,919295,678910,550460
Cà Mau,1194476,857571,906903,944971,2382037,1629385,1677630
Cần Thơ,1235171,941769,1021412,1408615,2886621,1789361,2132068
Gia Lai,1513847,950154,1133071,990810,2472669,1760170,1795832
Hà Giang,854679,490008,570408,531594,1692617,1145979,1128820
Hà Nam,852800,612219,652388,639454,1745353,1126483,1213520
Hà Nội,8053664,6200000,6905267,6635521,16665493,11376541,12294742
Hà Tĩnh,1288866,795436,913366,835735,2063542,1642572,1220150
Hòa Bình,854131,570146,625072,587709,1571436,1100234,1046120
Hưng Yên,1252731,935528,944796,867767,2311853,1705117,1686572
Hải Dương,1892254,1367571,1482330,1405862,3280365,2598385,2025640
Hải Phòng,1837173,1580000,1842741,1549775,4111599,2857279,2767400
Hậu Giang,733017,536163,605812,582767,1489950,1018710,1190250
Khánh Hòa,1231107,901731,1090640,1060322,2869438,1695222,1886770
Kiên Giang,1723067,1248338,1395497,1314585,3021376,2371842,3001880
Kon Tum,540438,338741,377514,356140,891592,611388,621200
Lai Châu,460196,282600,308295,290828,764883,496261,517840
Long An,1688547,1361733,1671134,1599695,4229928,2397297,2998000
Lào Cai,730420,445164,668518,623301,1832592,856325,933550
Lâm Đồng,1296606,901167,1117646,1079947,2859942,1642299,1952774
Lạng Sơn,781655,558242,567423,550990,1472038,1017262,1117220
Nam Định,1780393,1159000,1293247,1212814,2820581,2341610,1772560
Nghệ An,3327791,1960668,2286574,2241417,6241110,4267816,3900900
Ninh Bình,982487,695394,718360,731245,1790763,1279525,1239970
Ninh Thuận,590467,428346,469394,451546,1154028,739091,892660
Phú Thọ,1463726,1029489,1122092,1117928,2547424,1894260,1729400
Phú Yên,961152,616333,704244,646939,1562603,1171033,1108954
Quảng Bình,895430,611974,598594,559235,1364660,1135015,978810
Quảng Nam,1495812,1250469,1171704,1144967,2700107,1966932,2149770
Quảng Ngãi,1231697,883502,965105,905250,2131892,1678654,1562604
Quảng Ninh,1320324,1013446,1127076,1082725,3064841,1778123,2121498
Quảng Trị,632375,463442,490569,469288,1107962,786243,848182
Sóc Trăng,1199653,861361,1002605,976716,2665221,1636586,2114660
Sơn La,1248415,792702,1261805,1414021,2921871,1458572,1193980
TP. Hồ Chí Minh,8993082,7208800,8172223,7530150,20332147,13794299,14637020
Thanh Hóa,3640128,2605729,2922715,2126798,5656308,4794541,3877590
Thái Bình,1860447,1373070,1299276,1325733,3207717,2526449,1893980
Thái Nguyên,1286751,918061,1199636,1109151,2678569,1693856,1271330
Thừa Thiên Huế,1128620,779911,887595,860399,2187508,1481288,1616626
Tiền Giang,1764185,1488385,1477425,1431127,3623940,2512418,2974320
Trà Vinh,1009168,734794,942363,810329,2265255,1396109,1353410
Tuyên Quang,784811,535735,558904,536568,1268564,985752,930610
Tây Ninh,1169165,977624,1057054,988354,2527421,1658187,2055900
Vĩnh Long,1022791,769026,868180,843880,2214316,1461149,1733130
Vĩnh Phúc,1154154,789896,894129,835271,2178099,1453409,1462250
Yên Bái,821030,510271,591597,573886,1586687,1039328,1034300
Điện Biên,598856,336229,415362,369076,1030303,663416,629460
Đà Nẵng,1134310,885070,963129,913481,2264994,1571173,1720782
Đắk Lắk,1869322,1263947,1471215,1334599,3292308,2317760,2100110
Đắk Nông,622168,404872,470866,463168,1193161,723091,819420
Đồng Nai,3097107,2384309,2897634,2485221,5922003,4256053,5025430
Đồng Tháp,1599504,1181264,1448244,1256268,3272383,2244402,2705690
