provinceName,population,popOverEighteen,totalOnceInjected,totalTwiceInjected,totalInjected,totalVaccineAllocated,totalVaccineAllocatedReality
An Giang,1908352,1457127,1621559,1534501,4301926,2606158,3112132
Bà Rịa - Vũng Tàu,1148313,891244,1101950,987174,2819552,1563924,2034410
Bình Dương,2426561,2066553,2868515,2364386,6837114,3550283,4772470
Bình Phước,994679,758594,844965,804888,2261490,1285789,1528060
Bình Thuận,1230808,865494,1047279,1005776,2601086,1592509,1701850
Bình Định,1486918,1110818,1224191,1161384,3311743,1966752,1902530
Bạc Liêu,907236,572580,672052,647551,1738673,1275056,1269690
Bắc Giang,1803950,1280197,1468343,1379019,4201045,2408322,2203610
Bắc Kạn,313905,220169,252871,226495,641774,409198,343170
Bắc Ninh,1368840,985257,1292034,1205847,3566969,1871988,1865510
Bến Tre,1288463,980652,1155727,1121578,3084255,1863239,1882520
Cao Bằng,530341,368973,409281,374509,1037105,678910,550460
Cà Mau,1194476,857571,949395,960621,2643840,1629385,1677630
Cần Thơ,1235171,941769,1017520,1401551,2859868,1789361,2132068
Gia Lai,1513847,950154,1175978,1030409,2875297,1760170,1795832
Hà Giang,854679,490008,505997,484738,1643256,1145979,1128820
Hà Nam,852800,612219,671194,648227,1939452,1126483,1213520
Hà Nội,8053664,6200000,6279999,6267465,16927917,11376541,12294742
Hà Tĩnh,1288866,795436,949263,880761,2469260,1642572,1220150
Hòa Bình,854131,570146,660146,609293,1802835,1100234,1046120
Hưng Yên,1252731,935528,976348,880770,2565991,1705117,1686572
Hải Dương,1892254,1344063,1537591,1450383,3940277,2598385,2025640
Hải Phòng,1837173,1580000,1886066,1571193,4789437,2857279,2767400
Hậu Giang,733017,536163,620660,587323,1617185,1018710,1190250
Khánh Hòa,1231107,901731,1119762,1072752,2968290,1695222,1886770
Kiên Giang,1723067,1248338,1432805,1337953,3616601,2371842,3001880
Kon Tum,540438,338741,393826,362412,1025553,611388,621200
Lai Châu,460196,282600,338762,298361,903153,496261,517840
Long An,1688547,1361733,1709602,1617515,4513676,2397297,2998000
Lào Cai,730420,445164,560395,529871,1689653,856325,933550
Lâm Đồng,1296606,901167,1157317,1092008,3033412,1642299,1952774
Lạng Sơn,781655,558242,599670,570163,1612067,1017262,1117220
Nam Định,1780393,1159000,1347831,1244926,3628835,2341610,1772560
Nghệ An,3327791,1960668,2368374,2241417,6894464,4267816,3900900
Ninh Bình,982487,695394,771641,743766,2148411,1279525,1239970
Ninh Thuận,590467,373632,485086,462053,1306516,739091,892660
Phú Thọ,1463726,1029489,1172458,1139293,3201349,1894260,1729400
Phú Yên,961152,649673,728620,664393,1830989,1171033,1108954
Quảng Bình,895430,611974,618975,587427,1672042,1135015,978810
Quảng Nam,1495812,1250469,1245681,1184800,3361717,1966932,2149770
Quảng Ngãi,1231697,883502,992461,921255,2560903,1678654,1562604
Quảng Ninh,1320324,1013446,1179235,1108849,3210119,1778123,2121498
Quảng Trị,632375,463442,513027,483634,1323599,786243,848182
Sóc Trăng,1199653,861361,1037926,976802,2755313,1636586,2114660
Sơn La,1248415,786097,891295,805513,2368212,1458572,1193980
TP. Hồ Chí Minh,8993082,7208800,8116265,7611976,20726469,13794299,14637020
Thanh Hóa,3640128,2393453,2860314,2143289,7712119,4794541,3877590
Thái Bình,1860447,1373070,1349532,1347598,3797852,2526449,1893980
Thái Nguyên,1286751,918061,1099604,995622,2832534,1693856,1271330
Thừa Thiên Huế,1128620,779911,903877,871083,2488034,1481288,1616626
Tiền Giang,1764185,1488385,1514315,1437254,4083529,2512418,2974320
Trà Vinh,1009168,734794,923045,680255,2133686,1396109,1353410
Tuyên Quang,784811,535735,594969,566932,1582218,985752,930610
Tây Ninh,1169165,954662,1072743,998840,2628837,1658187,2055900
Vĩnh Long,1022791,769026,894090,857621,2528681,1461149,1733130
Vĩnh Phúc,1154154,789896,926550,855499,2529831,1453409,1462250
Yên Bái,821030,510271,624935,589217,1894420,1039328,1034300
Điện Biên,598856,339186,437742,387748,1150734,663416,629460
Đà Nẵng,1134310,885070,1007120,926743,2642349,1571173,1720782
Đắk Lắk,1869322,1266098,1511094,1376481,3764224,2317760,2100110
Đắk Nông,622168,404872,489096,466084,1377095,723091,819420
Đồng Nai,3097107,2384309,3215115,2989323,7194668,4256053,5025430
Đồng Tháp,1599504,1181264,1506140,1331487,3726470,2244402,2705690
