provinceName,population,popOverEighteen,totalOnceInjected,totalTwiceInjected,totalInjected,totalVaccineAllocated,totalVaccineAllocatedReality
An Giang,1908352,1457127,1477548,1207339,2684887,2606158,3041932
Bà Rịa - Vũng Tàu,1148313,891244,1012183,807018,1819201,1563924,1975910
Bình Dương,2426561,2381252,2391502,1749494,4140996,3550283,4713970
Bình Phước,994679,758594,786500,573860,1360360,1285789,1469560
Bình Thuận,1230808,865494,865515,546621,1412136,1592509,1701850
Bình Định,1486918,1110818,908143,461297,1369440,1966752,1902530
Bạc Liêu,907236,675288,651781,411038,1062819,1275056,1211190
Bắc Giang,1803950,1267538,1216350,820609,2036959,2408322,2150960
Bắc Kạn,313905,222390,195036,113776,308812,409198,331470
Bắc Ninh,1368840,985257,1138765,805059,1943824,1871988,1812860
Bến Tre,1288463,980652,980721,663196,1643917,1863239,1804020
Cao Bằng,530341,368973,312828,193722,506550,678910,527060
Cà Mau,1194476,857571,870115,678502,1548617,1629385,1619130
Cần Thơ,1235171,941769,1003776,802639,1806415,1789361,2253568
Gia Lai,1513847,956614,827024,324322,1151346,1760170,1749032
Hà Giang,854679,592774,469251,230128,699379,1145979,1093720
Hà Nam,852800,612219,638956,539604,1178560,1126483,1172570
Hà Nội,8053664,6200000,6536107,5532280,12068387,11376541,12090112
Hà Tĩnh,1288866,892702,749654,400626,1150280,1642572,1185050
Hòa Bình,854131,680000,516559,375841,892400,1100234,1011020
Hưng Yên,1252731,992340,826158,572377,1398535,1705117,1645622
Hải Dương,1892254,1367571,1108595,618421,1727016,2598385,1972990
Hải Phòng,1837173,1580000,1682936,805586,2488522,2857279,2708900
Hậu Giang,733017,536163,610107,477849,1087956,1018710,1190250
Khánh Hòa,1231107,901731,1039801,896242,1936043,1695222,1886770
Kiên Giang,1723067,1248338,1277803,884235,2162038,2371842,2931680
Kon Tum,540438,372446,313613,212892,526505,611388,597800
Lai Châu,460196,282600,272933,222956,495889,496261,494440
Long An,1688547,1361733,1598410,1408351,3006761,2397297,2939500
Lào Cai,730420,518028,486794,390761,877555,856325,892600
Lâm Đồng,1296606,901167,973344,815113,1788457,1642299,1894274
Lạng Sơn,781655,558242,543622,462097,1005719,1017262,1093820
Nam Định,1780393,1272614,1102097,523051,1625148,2341610,1648880
Nghệ An,3327791,2446902,2024983,1393635,3418618,4267816,3865800
Ninh Bình,982487,695394,619250,469368,1088618,1279525,1210720
Ninh Thuận,590467,428346,456894,339801,796695,739091,892660
Phú Thọ,1463726,1029489,949722,648046,1597768,1894260,1694300
Phú Yên,961152,616333,589916,386029,975945,1171033,1108954
Quảng Bình,895430,611974,520393,230429,750822,1135015,943710
Quảng Nam,1495812,1250469,1006024,323802,1329826,1966932,2149770
Quảng Ngãi,1231697,883502,795538,468734,1264272,1678654,1562604
Quảng Ninh,1320324,1013446,1090998,916791,2007789,1778123,2078208
Quảng Trị,632375,463442,413680,306703,720383,786243,813082
Sóc Trăng,1199653,861361,909780,642604,1552384,1636586,2056160
Sơn La,1248415,792702,603504,202574,806078,1458572,1147180
TP. Hồ Chí Minh,8993082,7208800,8002293,6634059,14636352,13794299,14426540
Thanh Hóa,3640128,2605729,1911420,728252,2639672,4794541,3760590
Thái Bình,1860447,1373070,1085759,487245,1573004,2526449,1847180
Thái Nguyên,1286751,938660,742447,364670,1107117,1693856,1224530
Thừa Thiên Huế,1128620,805048,743112,399400,1142512,1481288,1569826
Tiền Giang,1764185,1488385,1444986,1081701,2526687,2512418,2874370
Trà Vinh,1009168,734794,751232,413065,1164297,1396109,1294910
Tuyên Quang,784811,535735,469348,201330,670678,985752,860410
Tây Ninh,1169165,977624,957842,750585,1708427,1658187,1997400
Vĩnh Long,1022791,769026,851796,677169,1528965,1461149,1674630
Vĩnh Phúc,1154154,789896,769728,482355,1252083,1453409,1409600
Yên Bái,821030,670421,494070,454597,948667,1039328,1007390
Điện Biên,598856,336229,319045,132719,451764,663416,594360
Đà Nẵng,1134310,885070,953429,711027,1664456,1571173,1720782
Đắk Lắk,1869322,1362176,1214395,498918,1713313,2317760,2041610
Đắk Nông,622168,404872,408203,320122,728325,723091,784320
Đồng Nai,3097107,2384309,2763659,2213471,4977130,4256053,4943530
Đồng Tháp,1599504,1181264,1191575,760156,1951731,2244402,2635490
