provinceName,population,popOverEighteen,totalOnceInjected,totalTwiceInjected,totalInjected,totalVaccineAllocated,totalVaccineAllocatedReality
An Giang,1908352,1457127,1475220,1208749,2683969,2606158,3041932
Bà Rịa - Vũng Tàu,1148313,891244,1013103,816445,1829548,1563924,1975910
Bình Dương,2426561,2381252,2442311,1778998,4221309,3550283,4713970
Bình Phước,994679,758594,837374,574545,1411919,1285789,1469560
Bình Thuận,1230808,865494,876649,592571,1469220,1592509,1701850
Bình Định,1486918,1110818,918023,515093,1433116,1966752,1902530
Bạc Liêu,907236,675288,644021,447671,1091692,1275056,1211190
Bắc Giang,1803950,1267538,1318184,782769,2100953,2408322,2150960
Bắc Kạn,313905,222390,196394,121765,318159,409198,331470
Bắc Ninh,1368840,985257,1145240,817599,1962839,1871988,1812860
Bến Tre,1288463,980652,1021333,679489,1700822,1863239,1804020
Cao Bằng,530341,368973,323378,199759,523137,678910,527060
Cà Mau,1194476,857571,861148,831779,1692927,1629385,1619130
Cần Thơ,1235171,941769,1004518,813950,1818468,1789361,2253568
Gia Lai,1513847,956614,843206,431582,1274788,1760170,1749032
Hà Giang,854679,592774,469251,230128,699379,1145979,1093720
Hà Nam,852800,612219,639824,544812,1184636,1126483,1172570
Hà Nội,8053664,6200000,6598750,5554729,12153479,11376541,12090112
Hà Tĩnh,1288866,892702,792471,425541,1218012,1642572,1185050
Hòa Bình,854131,680000,516559,375841,892400,1100234,1011020
Hưng Yên,1252731,992340,898633,621618,1520251,1705117,1645622
Hải Dương,1892254,1367571,1198064,777694,1975758,2598385,1972990
Hải Phòng,1837173,1580000,1668072,1254897,2922969,2857279,2708900
Hậu Giang,733017,536163,603788,517361,1121149,1018710,1190250
Khánh Hòa,1231107,901731,1041259,897592,1938851,1695222,1886770
Kiên Giang,1723067,1248338,1277803,884235,2162038,2371842,2931680
Kon Tum,540438,372446,330010,226637,556647,611388,597800
Lai Châu,460196,282600,291565,223094,514659,496261,494440
Long An,1688547,1361733,1611012,1415525,3026537,2397297,2939500
Lào Cai,730420,518028,498851,396003,894854,856325,892600
Lâm Đồng,1296606,901167,964997,815113,1780110,1642299,1894274
Lạng Sơn,781655,558242,544603,464116,1008719,1017262,1093820
Nam Định,1780393,1272614,1105962,560047,1666009,2341610,1648880
Nghệ An,3327791,1960668,2024983,1393635,3418618,4267816,3865800
Ninh Bình,982487,695394,619250,469368,1088618,1279525,1210720
Ninh Thuận,590467,428346,468178,346204,814382,739091,892660
Phú Thọ,1463726,1029489,991017,684288,1675305,1894260,1694300
Phú Yên,961152,616333,590316,402138,992454,1171033,1108954
Quảng Bình,895430,611974,533115,278215,811330,1135015,943710
Quảng Nam,1495812,1250469,1011534,335906,1347440,1966932,2149770
Quảng Ngãi,1231697,883502,797505,570993,1368498,1678654,1562604
Quảng Ninh,1320324,1013446,1090998,916791,2007789,1778123,2078208
Quảng Trị,632375,463442,415860,321424,737284,786243,813082
Sóc Trăng,1199653,861361,915786,673918,1589704,1636586,2056160
Sơn La,1248415,792702,641108,230781,871889,1458572,1147180
TP. Hồ Chí Minh,8993082,7208800,8005678,6708819,14714497,13794299,14426540
Thanh Hóa,3640128,2605729,2008000,728252,2736252,4794541,3760590
Thái Bình,1860447,1373070,1126471,551063,1677534,2526449,1847180
Thái Nguyên,1286751,938660,781607,418079,1199686,1693856,1224530
Thừa Thiên Huế,1128620,805048,784346,421474,1205820,1481288,1569826
Tiền Giang,1764185,1488385,1437877,1118013,2555890,2512418,2874370
Trà Vinh,1009168,734794,787383,423462,1210845,1396109,1294910
Tuyên Quang,784811,535735,476361,197441,673802,985752,860410
Tây Ninh,1169165,977624,941371,759234,1700605,1658187,1997400
Vĩnh Long,1022791,769026,844135,706072,1550207,1461149,1674630
Vĩnh Phúc,1154154,789896,769728,482355,1252083,1453409,1409600
Yên Bái,821030,670421,494070,454597,948667,1039328,1007390
Điện Biên,598856,336229,348876,224255,573131,663416,594360
Đà Nẵng,1134310,885070,954062,712475,1666537,1571173,1720782
Đắk Lắk,1869322,1362176,1214876,563194,1778070,2317760,2041610
Đắk Nông,622168,404872,420838,323247,744085,723091,784320
Đồng Nai,3097107,2384309,2763659,2215271,4978930,4256053,4943530
Đồng Tháp,1599504,1181264,1086790,760156,1846946,2244402,2635490
