provinceName,population,popOverEighteen,totalOnceInjected,totalTwiceInjected,totalInjected,totalVaccineAllocated,totalVaccineAllocatedReality
An Giang,1908352,1457127,1494804,1264506,2759310,2606158,3112132
Bà Rịa - Vũng Tàu,1148313,891244,1063909,861604,1925513,1563924,2034410
Bình Dương,2426561,2381252,2519678,1834540,4354218,3550283,4772470
Bình Phước,994679,758594,848086,641150,1489236,1285789,1528060
Bình Thuận,1230808,865494,917166,668718,1585884,1592509,1701850
Bình Định,1486918,1110818,984038,724818,1708856,1966752,1902530
Bạc Liêu,907236,675288,646343,497152,1143495,1275056,1269690
Bắc Giang,1803950,1267538,1390710,828224,2218934,2408322,2203610
Bắc Kạn,313905,222390,204704,127537,332241,409198,343170
Bắc Ninh,1368840,985257,1207149,860646,2067795,1871988,1865510
Bến Tre,1288463,980652,1076575,841780,1918355,1863239,1882520
Cao Bằng,530341,368973,334359,231067,565426,678910,550460
Cà Mau,1194476,857571,861692,867570,1729262,1629385,1677630
Cần Thơ,1235171,941769,1011366,851364,1862730,1789361,2132068
Gia Lai,1513847,956614,937520,514466,1451986,1760170,1795832
Hà Giang,854679,592774,509692,366816,876508,1145979,1128820
Hà Nam,852800,612219,640423,547513,1187936,1126483,1213520
Hà Nội,8053664,6200000,6810772,5619321,12430093,11376541,12294742
Hà Tĩnh,1288866,892702,823909,476701,1300610,1642572,1220150
Hòa Bình,854131,680000,595338,448893,1044231,1100234,1046120
Hưng Yên,1252731,992340,936536,674624,1611160,1705117,1686572
Hải Dương,1892254,1367571,1259701,886764,2146465,2598385,2025640
Hải Phòng,1837173,1580000,1848188,1507565,3355753,2857279,2767400
Hậu Giang,733017,536163,603871,546779,1150650,1018710,1190250
Khánh Hòa,1231107,901731,1055787,910375,1966162,1695222,1886770
Kiên Giang,1723067,1248338,1280305,898321,2178626,2371842,3001880
Kon Tum,540438,372446,353804,242387,596191,611388,621200
Lai Châu,460196,282600,297622,229712,527334,496261,517840
Long An,1688547,1361733,1640101,1420473,3060574,2397297,2998000
Lào Cai,730420,518028,512912,411081,923993,856325,933550
Lâm Đồng,1296606,901167,1089534,904402,1993936,1642299,1952774
Lạng Sơn,781655,558242,545810,492591,1038401,1017262,1117220
Nam Định,1780393,1272614,1144875,580861,1725736,2341610,1772560
Nghệ An,3327791,1960668,2034531,1415090,3449621,4267816,3900900
Ninh Bình,982487,695394,619250,473717,1092967,1279525,1239970
Ninh Thuận,590467,428346,479436,366594,846030,739091,892660
Phú Thọ,1463726,1029489,1005517,720681,1726198,1894260,1729400
Phú Yên,961152,616333,626070,502816,1128886,1171033,1108954
Quảng Bình,895430,611974,546273,424398,970671,1135015,978810
Quảng Nam,1495812,1250469,1015469,730128,1745597,1966932,2149770
Quảng Ngãi,1231697,883502,828520,645949,1474469,1678654,1562604
Quảng Ninh,1320324,1013446,1091269,1027124,2118393,1778123,2121498
Quảng Trị,632375,463442,441835,337923,779758,786243,848182
Sóc Trăng,1199653,861361,932419,745109,1677528,1636586,2114660
Sơn La,1248415,792702,727086,298534,1025620,1458572,1193980
TP. Hồ Chí Minh,8993082,7208800,8028754,6821987,14850741,13794299,14637020
Thanh Hóa,3640128,2605729,2270717,790715,3061432,4794541,3877590
Thái Bình,1860447,1373070,1244879,525850,1770729,2526449,1893980
Thái Nguyên,1286751,938660,824605,493761,1318366,1693856,1271330
Thừa Thiên Huế,1128620,805048,842156,591476,1433632,1481288,1616626
Tiền Giang,1764185,1488385,1447563,1195919,2643482,2512418,2974320
Trà Vinh,1009168,734794,862442,467472,1329914,1396109,1353410
Tuyên Quang,784811,535735,515651,250229,765880,985752,930610
Tây Ninh,1169165,977624,945730,847227,1792957,1658187,2055900
Vĩnh Long,1022791,769026,851998,794774,1646772,1461149,1733130
Vĩnh Phúc,1154154,789896,799255,610516,1409771,1453409,1462250
Yên Bái,821030,510271,569341,468471,1037812,1039328,1034300
Điện Biên,598856,336229,379669,263062,642731,663416,629460
Đà Nẵng,1134310,885070,956990,868583,1825573,1571173,1720782
Đắk Lắk,1869322,1362176,1289527,766801,2056328,2317760,2100110
Đắk Nông,622168,404872,458062,374439,832501,723091,819420
Đồng Nai,3097107,2384309,2812742,2289416,5102158,4256053,5025430
Đồng Tháp,1599504,1181264,1237423,972680,2210103,2244402,2705690
