provinceName,population,popOverEighteen,totalOnceInjected,totalTwiceInjected,totalInjected,totalVaccineAllocated,totalVaccineAllocatedReality
An Giang,1908352,1457127,1779595,1689530,5032468,2606158,3112132
Bà Rịa - Vũng Tàu,1148313,891244,1154974,1026975,3038657,1563924,2034410
Bình Dương,2426561,2066553,2795772,2381842,7322067,3550283,4772470
Bình Phước,994679,741800,932755,870265,2688276,1285789,1528060
Bình Thuận,1230808,865494,1095285,1049364,2917848,1592509,1701850
Bình Định,1486918,1110818,1312102,1222401,3736989,1966752,1902530
Bạc Liêu,907236,572580,745233,713611,2225360,1275056,1269690
Bắc Giang,1803950,1280197,1650409,1530467,5439379,2408322,2203610
Bắc Kạn,313905,220169,275213,243287,709794,409198,343170
Bắc Ninh,1368840,985257,1414329,1319127,4214453,1871988,1865510
Bến Tre,1288463,980652,1250515,1212718,3730294,1863239,1882520
Cao Bằng,530341,368973,452573,409623,1222029,678910,550460
Cà Mau,1194476,857571,1043422,1049101,3294973,1629385,1677630
Cần Thơ,1235171,941769,1101340,1487186,3362688,1789361,2132068
Gia Lai,1513847,950154,1329287,1134939,3600512,1760170,1795832
Hà Giang,854679,490008,605760,567148,2004450,1145979,1128820
Hà Nam,852800,612219,730229,690231,2199643,1126483,1213520
Hà Nội,8053664,6200000,6669016,6506740,18881697,11376541,12294742
Hà Tĩnh,1288866,795436,1017720,966907,2868087,1642572,1220150
Hòa Bình,854131,553424,735591,668871,2140745,1100234,1046120
Hưng Yên,1252731,935528,1057590,928321,2908245,1705117,1686572
Hải Dương,1892254,1344063,1666221,1557896,4547606,2598385,2025640
Hải Phòng,1837173,1411495,2096569,1686033,5656433,2857279,2767400
Hậu Giang,733017,536163,679574,647960,2044267,1018710,1190250
Khánh Hòa,1231107,901731,1181656,1121690,3448015,1695222,1886770
Kiên Giang,1723067,1248338,1578414,1466519,4211179,2371842,3001880
Kon Tum,540438,338741,457496,405326,1305093,611388,621200
Lai Châu,460196,282600,381353,344511,1098831,496261,517840
Long An,1688547,1361733,1825864,1736175,5296737,2397297,2998000
Lào Cai,730420,445164,634771,596048,2001655,856325,933550
Lâm Đồng,1296606,901167,1275631,1192395,3830868,1642299,1952774
Lạng Sơn,781655,558242,660665,616438,1891828,1017262,1117220
Nam Định,1780393,1159000,1492916,1336482,4087546,2341610,1772560
Nghệ An,3327791,1960668,2560635,2387589,7748721,4267816,3900900
Ninh Bình,982487,695394,831423,792667,2440769,1279525,1239970
Ninh Thuận,590467,373632,535043,510170,1554074,739091,892660
Phú Thọ,1463726,1029489,1270701,1207040,3648917,1894260,1729400
Phú Yên,961152,649673,784738,711501,2022469,1171033,1108954
Quảng Bình,895430,611974,695173,630378,1936192,1135015,978810
Quảng Nam,1495812,1250469,1292192,1210881,3696802,1966932,2149770
Quảng Ngãi,1231697,723385,1071144,986520,2945373,1678654,1562604
Quảng Ninh,1320324,1013446,1277946,1178816,3902581,1778123,2121498
Quảng Trị,632375,463442,552829,515019,1477982,786243,848182
Sóc Trăng,1199653,861361,1152732,1096773,3590430,1636586,2114660
Sơn La,1248415,786097,1026148,921000,2856476,1458572,1193980
TP. Hồ Chí Minh,8993082,7208800,8331413,7914061,23036242,13794299,14637020
Thanh Hóa,3640128,2393453,3224656,2447144,9215176,4794541,3877590
Thái Bình,1860447,1373070,1466239,1429688,4222383,2526449,1893980
Thái Nguyên,1286751,918061,1196006,1073606,3335119,1693856,1271330
Thừa Thiên Huế,1128620,779911,963478,918973,2793100,1481288,1616626
Tiền Giang,1764185,1488385,1622567,1541256,4738693,2512418,2974320
Trà Vinh,1009168,734794,1004660,764845,2642864,1396109,1353410
Tuyên Quang,784811,535735,659302,615513,1831948,985752,930610
Tây Ninh,1169165,954662,1151371,1056621,3048880,1658187,2055900
Vĩnh Long,1022791,769026,976470,938082,3083815,1461149,1733130
Vĩnh Phúc,1154154,789896,1018561,898850,2972141,1453409,1462250
Yên Bái,821030,510271,705990,652064,2196025,1039328,1034300
Điện Biên,598856,339186,507621,455393,1490868,663416,629460
Đà Nẵng,1134310,885070,1034213,949355,2847680,1571173,1720782
Đắk Lắk,1869322,1266098,1651211,1451785,4498912,2317760,2100110
Đắk Nông,622168,324067,550145,507087,1638783,723091,819420
Đồng Nai,3097107,2306671,3394416,3134939,8575039,4256053,5025430
Đồng Tháp,1599504,1181264,1618572,1471215,4263509,2244402,2705690
