provinceName,population,popOverEighteen,totalOnceInjected,totalTwiceInjected,totalInjected,totalVaccineAllocated,totalVaccineAllocatedReality
An Giang,1908352,1457127,1317615,787694,2105309,2606158,2691722
Bà Rịa - Vũng Tàu,1148313,891244,943382,474921,1418303,1563924,1814650
Bình Dương,2426561,2381252,2371862,1712573,4084435,3550283,4605160
Bình Phước,994679,758594,725494,451990,1177484,1285789,1229800
Bình Thuận,1230808,865494,767447,228625,996072,1592509,1050040
Bình Định,1486918,1110818,794371,316246,1110617,1966752,1168980
Bạc Liêu,907236,675288,550396,350451,900847,1275056,952580
Bắc Giang,1803950,1267538,1010461,486389,1496850,2408322,1431570
Bắc Kạn,313905,222390,180943,60025,240968,409198,302220
Bắc Ninh,1368840,985257,1082565,649160,1731725,1871988,1644210
Bến Tre,1288463,980652,799300,447504,1246804,1863239,1315210
Cao Bằng,530341,368973,237542,132358,369900,678910,390160
Cà Mau,1194476,857571,854644,363626,1218270,1629385,1500320
Cần Thơ,1235171,941769,893841,327524,1221365,1789361,1720778
Gia Lai,1513847,956614,732947,114504,847451,1760170,1172882
Hà Giang,854679,592774,418863,89588,508451,1145979,611820
Hà Nam,852800,612219,568006,456809,1024815,1126483,1048130
Hà Nội,8053664,6200000,6120452,5017323,11137775,11376541,11436232
Hà Tĩnh,1288866,892702,698873,261587,960460,1642572,918050
Hòa Bình,854131,680000,442862,125395,568257,1100234,634970
Hưng Yên,1252731,992340,813998,307316,1121314,1705117,1306082
Hải Dương,1892254,1367571,1006050,480864,1486914,2598385,1332260
Hải Phòng,1837173,1580000,1514635,446479,1961114,2857279,2246800
Hậu Giang,733017,536163,599369,91799,691168,1018710,827840
Khánh Hòa,1231107,901731,939037,866359,1805396,1695222,1790470
Kiên Giang,1723067,1248338,1213887,676395,1890282,2371842,2472630
Kon Tum,540438,372446,298171,52985,351156,611388,466300
Lai Châu,460196,282600,246471,108277,354748,496261,372790
Long An,1688547,1361733,1476194,1387378,2863572,2397297,2930690
Lào Cai,730420,518028,423115,184586,607701,856325,639950
Lâm Đồng,1296606,901167,936462,573495,1509957,1642299,1504660
Lạng Sơn,781655,558242,508157,424231,932388,1017262,1070420
Nam Định,1780393,1272614,754399,169909,924308,2341610,1028920
Nghệ An,3327791,2446902,1467020,438844,1905864,4267816,1892300
Ninh Bình,982487,695394,619250,450477,1069727,1279525,1137010
Ninh Thuận,590467,428346,415318,155961,571279,739091,637560
Phú Thọ,1463726,1029489,870279,164435,1034714,1894260,1094190
Phú Yên,961152,616333,579475,235174,814649,1171033,928754
Quảng Bình,895430,727983,488024,82959,570983,1135015,716610
Quảng Nam,1495812,1250469,962741,176857,1139598,1966932,1420570
Quảng Ngãi,1231697,883502,778893,131169,910062,1678654,1009954
Quảng Ninh,1320324,1013446,1090998,916791,2007789,1778123,2008008
Quảng Trị,632375,463442,407603,142811,550414,786243,621882
Sóc Trăng,1199653,861361,758833,388024,1146857,1636586,1673950
Sơn La,1248415,792702,378522,103415,481937,1458572,493110
TP. Hồ Chí Minh,8993082,7208800,7864803,5946101,13810904,13794299,14046774
Thanh Hóa,3640128,2605729,1319498,437976,1757474,4794541,1827847
Thái Bình,1860447,1373070,996375,124173,1120548,2526449,1032220
Thái Nguyên,1286751,938660,635873,100056,735929,1693856,768060
Thừa Thiên Huế,1128620,805048,668558,130064,798622,1481288,813376
Tiền Giang,1764185,1488385,1263886,606526,1870412,2512418,2114810
Trà Vinh,1009168,734794,505062,304125,809187,1396109,992500
Tuyên Quang,784811,535735,388362,56893,445255,985752,512950
Tây Ninh,1169165,977624,882290,561862,1444152,1658187,1670520
Vĩnh Long,1022791,769026,833895,386855,1220750,1461149,1464320
Vĩnh Phúc,1154154,789896,755543,234262,989805,1453409,1191850
Yên Bái,821030,670421,491335,328340,819675,1039328,857140
Điện Biên,598856,360552,299362,91136,390498,663416,434360
Đà Nẵng,1134310,885070,894419,474569,1368988,1571173,1493032
Đắk Lắk,1869322,1362176,1168479,132544,1301023,2317760,1311160
Đắk Nông,622168,445000,395236,109150,504386,723091,513970
Đồng Nai,3097107,2384309,2623895,2118565,4742460,4256053,4755160
Đồng Tháp,1599504,1181264,899702,674833,1574535,2244402,1680430
