provinceName,population,popOverEighteen,totalOnceInjected,totalTwiceInjected,totalInjected,totalVaccineAllocated,totalVaccineAllocatedReality
An Giang,1908352,1457127,1564133,1531643,3891596,2606158,3112132
Bà Rịa - Vũng Tàu,1148313,891244,1079920,1001081,2536948,1563924,2034410
Bình Dương,2426561,2381252,2566811,2081860,4906765,3550283,4772470
Bình Phước,994679,758594,862271,835726,2064221,1285789,1528060
Bình Thuận,1230808,865494,1028650,973922,2259553,1592509,1701850
Bình Định,1486918,1110818,1186532,1141307,2751151,1966752,1902530
Bạc Liêu,907236,572580,656125,642719,1592454,1275056,1269690
Bắc Giang,1803950,1267538,1426232,1375052,3507436,2408322,2203610
Bắc Kạn,313905,222390,236910,232156,509479,409198,343170
Bắc Ninh,1368840,985257,1248336,1188846,3128115,1871988,1865510
Bến Tre,1288463,980652,1128539,1101972,2793961,1863239,1882520
Cao Bằng,530341,368973,391998,362465,899143,678910,550460
Cà Mau,1194476,857571,911327,944309,2335610,1629385,1677630
Cần Thơ,1235171,941769,1042525,1500496,2987091,1789361,2132068
Gia Lai,1513847,950154,1131975,986273,2381305,1760170,1795832
Hà Giang,854679,490008,575629,523267,1317534,1145979,1128820
Hà Nam,852800,612219,652130,640113,1716611,1126483,1213520
Hà Nội,8053664,6200000,6902466,6625723,16321743,11376541,12294742
Hà Tĩnh,1288866,795436,911698,856942,2034351,1642572,1220150
Hòa Bình,854131,570146,616103,573338,1221105,1100234,1046120
Hưng Yên,1252731,935528,943536,866603,2170715,1705117,1686572
Hải Dương,1892254,1367571,1483964,1402159,3250100,2598385,2025640
Hải Phòng,1837173,1580000,1805003,1485429,3635180,2857279,2767400
Hậu Giang,733017,536163,605725,582477,1475070,1018710,1190250
Khánh Hòa,1231107,901731,1089588,1056446,2788700,1695222,1886770
Kiên Giang,1723067,1248338,1405388,1305158,2933556,2371842,3001880
Kon Tum,540438,338741,376712,352883,818985,611388,621200
Lai Châu,460196,282600,307041,289364,737489,496261,517840
Long An,1688547,1361733,1670775,1610900,4161176,2397297,2998000
Lào Cai,730420,445164,670187,660728,1832559,856325,933550
Lâm Đồng,1296606,901167,1115083,1075050,2752051,1642299,1952774
Lạng Sơn,781655,558242,566357,550118,1396358,1017262,1117220
Nam Định,1780393,1159000,1291348,1209047,2657104,2341610,1772560
Nghệ An,3327791,1960668,2286574,2240116,5675370,4267816,3900900
Ninh Bình,982487,695394,718360,731245,1790763,1279525,1239970
Ninh Thuận,590467,428346,493358,467098,1197777,739091,892660
Phú Thọ,1463726,1029489,1097251,983346,2292906,1894260,1729400
Phú Yên,961152,616333,703903,644337,1444747,1171033,1108954
Quảng Bình,895430,611974,596758,548687,1238693,1135015,978810
Quảng Nam,1495812,1250469,1171166,1143009,2622943,1966932,2149770
Quảng Ngãi,1231697,883502,961746,897788,2027726,1678654,1562604
Quảng Ninh,1320324,1013446,1127076,1082725,3064841,1778123,2121498
Quảng Trị,632375,463442,489788,460703,1065460,786243,848182
Sóc Trăng,1199653,861361,1004272,976716,2570345,1636586,2114660
Sơn La,1248415,792702,869974,766828,1734112,1458572,1193980
TP. Hồ Chí Minh,8993082,7208800,8169357,7516579,20124756,13794299,14637020
Thanh Hóa,3640128,2605729,2878465,2537859,6023119,4794541,3877590
Thái Bình,1860447,1373070,1299081,1320571,3152452,2526449,1893980
Thái Nguyên,1286751,918061,1198474,1072632,2616321,1693856,1271330
Thừa Thiên Huế,1128620,779911,888422,858031,2144272,1481288,1616626
Tiền Giang,1764185,1488385,1476464,1428085,3555611,2512418,2974320
Trà Vinh,1009168,734794,872754,655532,1884135,1396109,1353410
Tuyên Quang,784811,535735,558904,536568,1254801,985752,930610
Tây Ninh,1169165,977624,962584,914844,2288851,1658187,2055900
Vĩnh Long,1022791,769026,867298,841447,2174957,1461149,1733130
Vĩnh Phúc,1154154,789896,893183,833990,2066402,1453409,1462250
Yên Bái,821030,510271,591225,572618,1495535,1039328,1034300
Điện Biên,598856,336229,402799,354860,952841,663416,629460
Đà Nẵng,1134310,885070,962271,912247,2148825,1571173,1720782
Đắk Lắk,1869322,1263947,1504319,1413481,3441905,2317760,2100110
Đắk Nông,622168,404872,470699,461360,1165477,723091,819420
Đồng Nai,3097107,2384309,2894331,2474852,5780610,4256053,5025430
Đồng Tháp,1599504,1181264,1382123,1284659,3031326,2244402,2705690
