provinceName,population,popOverEighteen,totalOnceInjected,totalTwiceInjected,totalInjected,totalVaccineAllocated,totalVaccineAllocatedReality
An Giang,1908352,1457127,1693315,1542779,4402160,2606158,3112132
Bà Rịa - Vũng Tàu,1148313,891244,1142931,1001313,2893646,1563924,2034410
Bình Dương,2426561,2066553,2938736,2393716,6936665,3550283,4772470
Bình Phước,994679,758594,877310,808392,2360458,1285789,1528060
Bình Thuận,1230808,865494,1064319,1011560,2629939,1592509,1701850
Bình Định,1486918,1110818,1257381,1166502,3377979,1966752,1902530
Bạc Liêu,907236,572580,711837,652034,1798917,1275056,1269690
Bắc Giang,1803950,1280197,1464791,1385503,4367777,2408322,2203610
Bắc Kạn,313905,220169,258125,226984,648639,409198,343170
Bắc Ninh,1368840,985257,1313197,1231335,3645479,1871988,1865510
Bến Tre,1288463,980652,1206509,1136897,3157730,1863239,1882520
Cao Bằng,530341,368973,421447,380889,1086310,678910,550460
Cà Mau,1194476,857571,980014,969335,2712500,1629385,1677630
Cần Thơ,1235171,941769,1061840,1407271,2926119,1789361,2132068
Gia Lai,1513847,950154,1260403,1043880,3129213,1760170,1795832
Hà Giang,854679,490008,559068,494026,1706743,1145979,1128820
Hà Nam,852800,612219,674667,653615,1966885,1126483,1213520
Hà Nội,8053664,6200000,6305880,6273500,16974296,11376541,12294742
Hà Tĩnh,1288866,795436,964384,905923,2578478,1642572,1220150
Hòa Bình,854131,570146,679473,613453,1885120,1100234,1046120
Hưng Yên,1252731,935528,984466,892511,2586701,1705117,1686572
Hải Dương,1892254,1344063,1562902,1473468,4105015,2598385,2025640
Hải Phòng,1837173,1580000,1946297,1571395,4861162,2857279,2767400
Hậu Giang,733017,536163,647982,587323,1644507,1018710,1190250
Khánh Hòa,1231107,901731,1123518,1074987,3000373,1695222,1886770
Kiên Giang,1723067,1248338,1508846,1339997,3707413,2371842,3001880
Kon Tum,540438,338741,424104,363075,1083424,611388,621200
Lai Châu,460196,282600,351202,299725,941758,496261,517840
Long An,1688547,1361733,1777784,1644330,4666049,2397297,2998000
Lào Cai,730420,445164,585577,543291,1761751,856325,933550
Lâm Đồng,1296606,901167,1219333,1108805,3278630,1642299,1952774
Lạng Sơn,781655,558242,614214,581631,1641916,1017262,1117220
Nam Định,1780393,1159000,1381480,1246158,3676430,2341610,1772560
Nghệ An,3327791,1960668,2420059,2243367,7030598,4267816,3900900
Ninh Bình,982487,695394,786278,744108,2189837,1279525,1239970
Ninh Thuận,590467,373632,517900,466136,1345138,739091,892660
Phú Thọ,1463726,1029489,1185593,1154096,3233509,1894260,1729400
Phú Yên,961152,649673,760239,667283,1870323,1171033,1108954
Quảng Bình,895430,611974,652057,586820,1719953,1135015,978810
Quảng Nam,1495812,1250469,1259775,1185857,3393211,1966932,2149770
Quảng Ngãi,1231697,883502,1025558,926146,2624455,1678654,1562604
Quảng Ninh,1320324,1013446,1182271,1135218,3239524,1778123,2121498
Quảng Trị,632375,463442,530190,486193,1354536,786243,848182
Sóc Trăng,1199653,861361,1107059,980636,2854908,1636586,2114660
Sơn La,1248415,786097,937087,817344,2467060,1458572,1193980
TP. Hồ Chí Minh,8993082,7208800,8160051,7719928,20894435,13794299,14637020
Thanh Hóa,3640128,2393453,2969353,2198131,7961035,4794541,3877590
Thái Bình,1860447,1373070,1370963,1354564,3894311,2526449,1893980
Thái Nguyên,1286751,918061,1120059,1013977,2956008,1693856,1271330
Thừa Thiên Huế,1128620,779911,924867,873587,2519675,1481288,1616626
Tiền Giang,1764185,1488385,1558302,1439105,4154237,2512418,2974320
Trà Vinh,1009168,734794,977324,707643,2349052,1396109,1353410
Tuyên Quang,784811,535735,614307,578390,1615819,985752,930610
Tây Ninh,1169165,954662,1104037,1004105,2689702,1658187,2055900
Vĩnh Long,1022791,769026,938511,859765,2623045,1461149,1733130
Vĩnh Phúc,1154154,789896,937696,856859,2603914,1453409,1462250
Yên Bái,821030,510271,652592,600448,1965910,1039328,1034300
Điện Biên,598856,339186,466869,410087,1260850,663416,629460
Đà Nẵng,1134310,885070,1010870,927258,2649466,1571173,1720782
Đắk Lắk,1869322,1266098,1541738,1378799,3843070,2317760,2100110
Đắk Nông,622168,404872,513582,469090,1425698,723091,819420
Đồng Nai,3097107,2384309,3304783,3038224,7908546,4256053,5025430
Đồng Tháp,1599504,1181264,1576710,1372031,3857145,2244402,2705690
