provinceName,population,popOverEighteen,totalOnceInjected,totalTwiceInjected,totalInjected,totalVaccineAllocated,totalVaccineAllocatedReality
An Giang,1908352,1457127,1439779,1174832,2614611,2606158,2914582
Bà Rịa - Vũng Tàu,1148313,891244,996049,764025,1760074,1563924,1864960
Bình Dương,2426561,2381252,2372712,1747763,4120475,3550283,4655470
Bình Phước,994679,758594,769677,516307,1285984,1285789,1338610
Bình Thuận,1230808,865494,830996,369597,1200593,1592509,1565050
Bình Định,1486918,1110818,846001,363284,1209285,1966752,1623530
Bạc Liêu,907236,675288,636026,370721,1006747,1275056,1064390
Bắc Giang,1803950,1267538,1133036,759289,1892325,2408322,1998310
Bắc Kạn,313905,222390,192560,97812,290372,409198,319770
Bắc Ninh,1368840,985257,1090176,787182,1877358,1871988,1760210
Bến Tre,1288463,980652,964918,578130,1543048,1863239,1608920
Cao Bằng,530341,368973,267260,163179,430439,678910,457710
Cà Mau,1194476,857571,857947,598852,1456799,1629385,1619130
Cần Thơ,1235171,941769,913906,734896,1648802,1789361,2264068
Gia Lai,1513847,956614,827024,324322,1151346,1760170,1481382
Hà Giang,854679,592774,447819,153536,601355,1145979,978620
Hà Nam,852800,612219,610985,536594,1147579,1126483,1143320
Hà Nội,8053664,6200000,6183610,5430199,11613809,11376541,11831572
Hà Tĩnh,1288866,892702,728483,370041,1098524,1642572,1053150
Hòa Bình,854131,680000,516559,375841,892400,1100234,881770
Hưng Yên,1252731,992340,826158,572377,1398535,1705117,1375422
Hải Dương,1892254,1367571,1045829,542417,1588246,2598385,1429370
Hải Phòng,1837173,1580000,1655501,554901,2210402,2857279,2638700
Hậu Giang,733017,536163,604253,361503,965756,1018710,1178250
Khánh Hòa,1231107,901731,978606,887005,1865611,1695222,1825570
Kiên Giang,1723067,1248338,1239976,727862,1967838,2371842,2607180
Kon Tum,540438,372446,303270,119912,423182,611388,514400
Lai Châu,460196,282600,253093,220782,473875,496261,471040
Long An,1688547,1361733,1539037,1403835,2942872,2397297,2981000
Lào Cai,730420,518028,439134,282252,721386,856325,851650
Lâm Đồng,1296606,901167,938721,740436,1679157,1642299,1775474
Lạng Sơn,781655,558242,531395,458685,990080,1017262,1070420
Nam Định,1780393,1272614,950815,293907,1244722,2341610,1748880
Nghệ An,3327791,2446902,1494847,1375795,2870642,4267816,2830750
Ninh Bình,982487,695394,619250,450477,1069727,1279525,1187320
Ninh Thuận,590467,428346,422308,312540,734848,739091,837560
Phú Thọ,1463726,1029489,882377,513765,1396142,1894260,1479600
Phú Yên,961152,616333,587045,351491,938536,1171033,963854
Quảng Bình,895430,727983,499318,171430,670748,1135015,911710
Quảng Nam,1495812,1250469,989563,264123,1253686,1966932,1420570
Quảng Ngãi,1231697,883502,793710,211494,1005204,1678654,1427504
Quảng Ninh,1320324,1013446,1090998,916791,2007789,1778123,2008008
Quảng Trị,632375,463442,411739,206526,618265,786243,645282
Sóc Trăng,1199653,861361,864327,642604,1506931,1636586,1771060
Sơn La,1248415,792702,482109,144202,626311,1458572,571610
TP. Hồ Chí Minh,8993082,7208800,7907159,6167363,14074522,13794299,14788350
Thanh Hóa,3640128,2605729,1673166,700055,2373221,4794541,2745667
Thái Bình,1860447,1373070,1060275,359047,1419322,2526449,1164090
Thái Nguyên,1286751,938660,740806,276241,1017047,1693856,1077730
Thừa Thiên Huế,1128620,805048,723456,268331,991787,1481288,1449876
Tiền Giang,1764185,1488385,1379959,951730,2331689,2512418,2399120
Trà Vinh,1009168,734794,553905,406355,960260,1396109,1159810
Tuyên Quang,784811,535735,436419,135062,571481,985752,648050
Tây Ninh,1169165,977624,933835,709159,1642994,1658187,1935230
Vĩnh Long,1022791,769026,839887,592733,1432620,1461149,1734630
Vĩnh Phúc,1154154,789896,769728,482355,1252083,1453409,1356950
Yên Bái,821030,670421,493348,438395,931743,1039328,1157140
Điện Biên,598856,360552,319045,132719,451764,663416,464360
Đà Nẵng,1134310,885070,929825,625364,1555189,1571173,1528132
Đắk Lắk,1869322,1362176,1210841,281567,1492408,2317760,1669660
Đắk Nông,622168,445000,395713,241281,636994,723091,669070
Đồng Nai,3097107,2384309,2728352,2203331,4931683,4256053,4854610
Đồng Tháp,1599504,1181264,1154479,699163,1853642,2244402,2488690
