provinceName,population,popOverEighteen,totalOnceInjected,totalTwiceInjected,totalInjected,totalVaccineAllocated,totalVaccineAllocatedReality
An Giang,1908352,1457127,1483701,1223715,2707416,2606158,3041932
Bà Rịa - Vũng Tàu,1148313,891244,1056476,821688,1878164,1563924,1975910
Bình Dương,2426561,2381252,2442311,1778998,4221309,3550283,4713970
Bình Phước,994679,758594,838363,574701,1413064,1285789,1469560
Bình Thuận,1230808,865494,897633,612709,1510342,1592509,1701850
Bình Định,1486918,1110818,928226,552399,1480625,1966752,1902530
Bạc Liêu,907236,675288,645071,474109,1119180,1275056,1211190
Bắc Giang,1803950,1267538,1327214,794359,2121573,2408322,2150960
Bắc Kạn,313905,222390,196394,121765,318159,409198,331470
Bắc Ninh,1368840,985257,1165005,819154,1984159,1871988,1812860
Bến Tre,1288463,980652,1055630,698019,1753649,1863239,1804020
Cao Bằng,530341,368973,324699,204897,529596,678910,527060
Cà Mau,1194476,857571,861148,831779,1692927,1629385,1619130
Cần Thơ,1235171,941769,1007648,834008,1841656,1789361,2253568
Gia Lai,1513847,956614,843206,431582,1274788,1760170,1749032
Hà Giang,854679,592774,496960,305175,802135,1145979,1093720
Hà Nam,852800,612219,639923,545272,1185195,1126483,1172570
Hà Nội,8053664,6200000,6638314,5574910,12213224,11376541,12090112
Hà Tĩnh,1288866,892702,803051,434625,1237676,1642572,1185050
Hòa Bình,854131,680000,553803,393064,946867,1100234,1011020
Hưng Yên,1252731,992340,898633,621618,1520251,1705117,1645622
Hải Dương,1892254,1367571,1198064,777694,1975758,2598385,1972990
Hải Phòng,1837173,1580000,1780889,1507565,3288454,2857279,2708900
Hậu Giang,733017,536163,603788,534615,1138403,1018710,1190250
Khánh Hòa,1231107,901731,1043848,898566,1942414,1695222,1886770
Kiên Giang,1723067,1248338,1277803,884235,2162038,2371842,2931680
Kon Tum,540438,372446,342287,233816,576103,611388,597800
Lai Châu,460196,282600,296131,227458,523589,496261,494440
Long An,1688547,1361733,1627138,1417144,3044282,2397297,2939500
Lào Cai,730420,518028,503581,398969,902550,856325,892600
Lâm Đồng,1296606,901167,1072185,878867,1951052,1642299,1894274
Lạng Sơn,781655,558242,544692,467908,1012600,1017262,1093820
Nam Định,1780393,1272614,1106267,574995,1681262,2341610,1648880
Nghệ An,3327791,1960668,2024983,1393635,3418618,4267816,3865800
Ninh Bình,982487,695394,619250,469368,1088618,1279525,1210720
Ninh Thuận,590467,428346,474535,356184,830719,739091,892660
Phú Thọ,1463726,1029489,997415,693124,1690539,1894260,1694300
Phú Yên,961152,616333,591499,414200,1005699,1171033,1108954
Quảng Bình,895430,611974,538124,329362,867486,1135015,943710
Quảng Nam,1495812,1250469,1014091,412506,1426597,1966932,2149770
Quảng Ngãi,1231697,883502,797505,589968,1387473,1678654,1562604
Quảng Ninh,1320324,1013446,1090998,916791,2007789,1778123,2078208
Quảng Trị,632375,463442,417163,324406,741569,786243,813082
Sóc Trăng,1199653,861361,915786,673918,1589704,1636586,2056160
Sơn La,1248415,792702,666665,265851,932516,1458572,1147180
TP. Hồ Chí Minh,8993082,7208800,8013408,6752631,14766039,13794299,14426540
Thanh Hóa,3640128,2605729,2008000,728252,2736252,4794541,3760590
Thái Bình,1860447,1373070,1164605,561241,1725846,2526449,1847180
Thái Nguyên,1286751,938660,792153,452787,1244940,1693856,1224530
Thừa Thiên Huế,1128620,805048,789799,467698,1257497,1481288,1569826
Tiền Giang,1764185,1488385,1442579,1133131,2575710,2512418,2874370
Trà Vinh,1009168,734794,827337,423462,1250799,1396109,1294910
Tuyên Quang,784811,535735,476361,197441,673802,985752,860410
Tây Ninh,1169165,977624,942174,782545,1724719,1658187,1997400
Vĩnh Long,1022791,769026,845721,726502,1572223,1461149,1674630
Vĩnh Phúc,1154154,789896,799255,610516,1409771,1453409,1409600
Yên Bái,821030,670421,494582,468098,962680,1039328,1007390
Điện Biên,598856,336229,356781,336536,693317,663416,594360
Đà Nẵng,1134310,885070,953987,784439,1738426,1571173,1720782
Đắk Lắk,1869322,1362176,1253387,636825,1890212,2317760,2041610
Đắk Nông,622168,404872,424023,327438,751461,723091,784320
Đồng Nai,3097107,2384309,2806649,2232824,5039473,4256053,4943530
Đồng Tháp,1599504,1181264,1174532,791238,1965770,2244402,2635490
