provinceName,population,popOverEighteen,totalOnceInjected,totalTwiceInjected,totalInjected,totalVaccineAllocated,totalVaccineAllocatedReality
An Giang,1908352,1457127,1577222,1526617,4201406,2606158,3112132
Bà Rịa - Vũng Tàu,1148313,891244,1082038,985497,2788790,1563924,2034410
Bình Dương,2426561,2066553,2833827,2364297,6666291,3550283,4772470
Bình Phước,994679,758594,822019,804097,2171348,1285789,1528060
Bình Thuận,1230808,865494,1022583,1010837,2550980,1592509,1701850
Bình Định,1486918,1110818,1195856,1158869,3185214,1966752,1902530
Bạc Liêu,907236,572580,657478,646847,1706622,1275056,1269690
Bắc Giang,1803950,1280197,1427659,1379019,4140061,2408322,2203610
Bắc Kạn,313905,220169,246273,235144,583675,409198,343170
Bắc Ninh,1368840,985257,1256134,1201792,3371178,1871988,1865510
Bến Tre,1288463,980652,1131589,1118719,3027390,1863239,1882520
Cao Bằng,530341,368973,395028,370636,971567,678910,550460
Cà Mau,1194476,857571,907925,945431,2415059,1629385,1677630
Cần Thơ,1235171,941769,991332,1398993,2756720,1789361,2132068
Gia Lai,1513847,950154,1146616,1028357,2827216,1760170,1795832
Hà Giang,854679,490008,485444,480614,1596123,1145979,1128820
Hà Nam,852800,612219,653298,647222,1879038,1126483,1213520
Hà Nội,8053664,6200000,6116384,6257346,16671214,11376541,12294742
Hà Tĩnh,1288866,795436,918932,859326,2260509,1642572,1220150
Hòa Bình,854131,570146,635798,603712,1659368,1100234,1046120
Hưng Yên,1252731,935528,947078,876103,2488960,1705117,1686572
Hải Dương,1892254,1344063,1496490,1445195,3704745,2598385,2025640
Hải Phòng,1837173,1580000,1850742,1567956,4701927,2857279,2767400
Hậu Giang,733017,536163,606843,586430,1583322,1018710,1190250
Khánh Hòa,1231107,901731,1101301,1066200,2918336,1695222,1886770
Kiên Giang,1723067,1248338,1396309,1337482,3530463,2371842,3001880
Kon Tum,540438,338741,378833,360995,979797,611388,621200
Lai Châu,460196,282600,311604,295284,817604,496261,517840
Long An,1688547,1361733,1674697,1614424,4471190,2397297,2998000
Lào Cai,730420,445164,518842,525697,1495228,856325,933550
Lâm Đồng,1296606,901167,1123560,1088517,2981847,1642299,1952774
Lạng Sơn,781655,558242,577323,565431,1577050,1017262,1117220
Nam Định,1780393,1159000,1305950,1241179,3562421,2341610,1772560
Nghệ An,3327791,1960668,2286574,2241417,6259855,4267816,3900900
Ninh Bình,982487,695394,757681,743766,1882017,1279525,1239970
Ninh Thuận,590467,409689,473439,461165,1289784,739091,892660
Phú Thọ,1463726,1029489,1133664,1127288,2959455,1894260,1729400
Phú Yên,961152,649673,711607,658376,1778126,1171033,1108954
Quảng Bình,895430,611974,609798,581748,1627864,1135015,978810
Quảng Nam,1495812,1250469,1217887,1181937,3210885,1966932,2149770
Quảng Ngãi,1231697,883502,967432,919028,2530540,1678654,1562604
Quảng Ninh,1320324,1013446,1137772,1108849,3168656,1778123,2121498
Quảng Trị,632375,463442,498541,479000,1269366,786243,848182
Sóc Trăng,1199653,861361,1002605,976716,2711508,1636586,2114660
Sơn La,1248415,786097,850951,793114,2117487,1458572,1193980
TP. Hồ Chí Minh,8993082,7208800,7847364,7607936,20435829,13794299,14637020
Thanh Hóa,3640128,2393453,2776457,2139737,7448631,4794541,3877590
Thái Bình,1860447,1373070,1313941,1336964,3542564,2526449,1893980
Thái Nguyên,1286751,918061,1065004,994964,2613930,1693856,1271330
Thừa Thiên Huế,1128620,779911,879525,867932,2392541,1481288,1616626
Tiền Giang,1764185,1488385,1482337,1434118,3996313,2512418,2974320
Trà Vinh,1009168,734794,902175,679947,2111123,1396109,1353410
Tuyên Quang,784811,535735,565659,559298,1485927,985752,930610
Tây Ninh,1169165,954662,1057971,996837,2595232,1658187,2055900
Vĩnh Long,1022791,769026,871860,854450,2389262,1461149,1733130
Vĩnh Phúc,1154154,789896,911668,848612,2440952,1453409,1462250
Yên Bái,821030,510271,597997,584315,1664358,1039328,1034300
Điện Biên,598856,339186,410641,387748,1123633,663416,629460
Đà Nẵng,1134310,885070,967369,916744,2628375,1571173,1720782
Đắk Lắk,1869322,1266098,1482947,1367072,3607542,2317760,2100110
Đắk Nông,622168,404872,471389,465451,1287961,723091,819420
Đồng Nai,3097107,2384309,3119785,2986497,7013688,4256053,5025430
Đồng Tháp,1599504,1181264,1454493,1318512,3347982,2244402,2705690
