provinceName,population,popOverEighteen,totalOnceInjected,totalTwiceInjected,totalInjected,totalVaccineAllocated,totalVaccineAllocatedReality
An Giang,1908352,1457127,1563855,1510881,3975023,2606158,3112132
Bà Rịa - Vũng Tàu,1148313,891244,1081279,969481,2665872,1563924,2034410
Bình Dương,2426561,2381252,2616986,2304733,5792367,3550283,4772470
Bình Phước,994679,758594,821169,801949,2057931,1285789,1528060
Bình Thuận,1230808,865494,1019932,1001194,2447223,1592509,1701850
Bình Định,1486918,1110818,1189571,1150366,2993491,1966752,1902530
Bạc Liêu,907236,572580,657078,645648,1669145,1275056,1269690
Bắc Giang,1803950,1267538,1427441,1378813,4072719,2408322,2203610
Bắc Kạn,313905,222390,243027,232221,517387,409198,343170
Bắc Ninh,1368840,985257,1251231,1191174,3177398,1871988,1865510
Bến Tre,1288463,980652,1129897,1109339,2917143,1863239,1882520
Cao Bằng,530341,368973,394445,369132,952307,678910,550460
Cà Mau,1194476,857571,907925,945431,2415059,1629385,1677630
Cần Thơ,1235171,941769,989189,1412610,2699540,1789361,2132068
Gia Lai,1513847,950154,1144812,1011099,2610024,1760170,1795832
Hà Giang,854679,490008,477356,461155,1443188,1145979,1128820
Hà Nam,852800,612219,653675,640618,1808058,1126483,1213520
Hà Nội,8053664,6200000,6104288,6228624,16139211,11376541,12294742
Hà Tĩnh,1288866,795436,915181,853491,2149949,1642572,1220150
Hòa Bình,854131,570146,625494,587709,1571858,1100234,1046120
Hưng Yên,1252731,935528,947078,876103,2448296,1705117,1686572
Hải Dương,1892254,1367571,1490303,1427490,3382467,2598385,2025640
Hải Phòng,1837173,1580000,1847622,1559630,4562681,2857279,2767400
Hậu Giang,733017,536163,606020,584501,1535052,1018710,1190250
Khánh Hòa,1231107,901731,1098608,1065920,2968293,1695222,1886770
Kiên Giang,1723067,1248338,1396153,1334034,3185168,2371842,3001880
Kon Tum,540438,338741,377945,359305,943397,611388,621200
Lai Châu,460196,282600,309220,292494,794456,496261,517840
Long An,1688547,1361733,1673093,1610481,4418559,2397297,2998000
Lào Cai,730420,445164,514735,516817,1431881,856325,933550
Lâm Đồng,1296606,901167,1121244,1084662,2934953,1642299,1952774
Lạng Sơn,781655,558242,573009,556640,1543253,1017262,1117220
Nam Định,1780393,1159000,1299335,1233432,3109391,2341610,1772560
Nghệ An,3327791,1960668,2286574,2241417,6259855,4267816,3900900
Ninh Bình,982487,695394,757592,742763,1856531,1279525,1239970
Ninh Thuận,590467,428346,471415,456105,1231219,739091,892660
Phú Thọ,1463726,1029489,1127095,1122741,2913642,1894260,1729400
Phú Yên,961152,616333,708224,653504,1705562,1171033,1108954
Quảng Bình,895430,611974,603114,566125,1453597,1135015,978810
Quảng Nam,1495812,1250469,1176926,1161715,2999706,1966932,2149770
Quảng Ngãi,1231697,883502,966392,910986,2313448,1678654,1562604
Quảng Ninh,1320324,1013446,1127076,1082725,3064841,1778123,2121498
Quảng Trị,632375,463442,496648,476352,1204744,786243,848182
Sóc Trăng,1199653,861361,1002605,976716,2703917,1636586,2114660
Sơn La,1248415,792702,844725,778407,1888985,1458572,1193980
TP. Hồ Chí Minh,8993082,7208800,7841206,7586114,20265318,13794299,14637020
Thanh Hóa,3640128,2605729,2775915,2139419,6121346,4794541,3877590
Thái Bình,1860447,1373070,1301542,1328356,3311530,2526449,1893980
Thái Nguyên,1286751,918061,1063638,991325,2400802,1693856,1271330
Thừa Thiên Huế,1128620,779911,876140,862883,2261170,1481288,1616626
Tiền Giang,1764185,1488385,1481327,1428871,3814530,2512418,2974320
Trà Vinh,1009168,734794,901984,676554,2031051,1396109,1353410
Tuyên Quang,784811,535735,564230,555217,1373935,985752,930610
Tây Ninh,1169165,977624,1057726,990867,2572782,1658187,2055900
Vĩnh Long,1022791,769026,870688,851059,2342909,1461149,1733130
Vĩnh Phúc,1154154,789896,903922,844334,2374391,1453409,1462250
Yên Bái,821030,510271,593602,578105,1637478,1039328,1034300
Điện Biên,598856,336229,408731,375447,1044643,663416,629460
Đà Nẵng,1134310,885070,967833,918762,2659975,1571173,1720782
Đắk Lắk,1869322,1263947,1476109,1357673,3483500,2317760,2100110
Đắk Nông,622168,404872,471130,464260,1246832,723091,819420
Đồng Nai,3097107,2384309,3000683,2593569,6294360,4256053,5025430
Đồng Tháp,1599504,1181264,1453886,1317651,3346514,2244402,2705690
