COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED
Iran (Islamic Republic of),IRN,EMRO,REPORTING,2021-12-26,116210697,59498870.0,138.358,70.838,51194091.0,60.95,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Finlay - Soberana-02,Gamaleya - Gam-Covid-Vac,Shifa - COVIran Barakat",2021-02-09,6.0
Niger,NER,AFRO,REPORTING,2021-12-28,1716942,753567.0,7.093,3.113,963375.0,3.98,"Beijing CNBG - BBIBP-CorV,SII - Covishield",2021-03-29,2.0
Dominica,DMA,AMRO,REPORTING,2021-12-23,57044,29426.0,79.238,40.875,27618.0,38.363,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-02-12,4.0
American Samoa,ASM,WPRO,REPORTING,2021-12-15,72634,38833.0,131.59,70.353,31626.0,57.297,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2020-12-21,3.0
Samoa,WSM,WPRO,REPORTING,2021-12-20,264438,141724.0,133.276,71.428,122714.0,61.847,AstraZeneca - Vaxzevria,2021-04-18,1.0
United Arab Emirates,ARE,EMRO,REPORTING,2021-12-28,22536846,,227.866,,,,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty,SII - Covishield",2020-12-14,5.0
Uganda,UGA,AFRO,REPORTING,2021-12-20,9763030,8354808.0,21.344,18.265,1408222.0,3.079,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-03-10,5.0
United Republic of Tanzania,TZA,AFRO,REPORTING,2021-12-28,2431769,2079930.0,4.071,3.482,1359225.0,2.275,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty",2021-07-28,3.0
Lao People's Democratic Republic,LAO,WPRO,REPORTING,2021-11-23,5830021,3744740.0,80.132,51.47,3099003.0,42.595,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2020-11-25,8.0
Sudan,SDN,EMRO,REPORTING,2021-12-25,3157227,2652094.0,7.2,6.048,1257549.0,2.868,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-03-09,5.0
