COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100
Afghanistan,AFG,EMRO,REPORTING,2022-06-01,6171652.0,5456919.0,15.854,14.018,4807917.0,12.351,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-02-22,11.0,,
Albania,ALB,EURO,REPORTING,2022-05-22,2866387.0,1319066.0,99.6,46.349,1239990.0,43.57,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-01-13,5.0,306637.0,10.774
Algeria,DZA,AFRO,REPORTING,2022-05-22,15205854.0,7840131.0,34.676,17.879,6481186.0,14.78,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,SII - Covishield,Sinovac - CoronaVac",2021-01-30,4.0,514063.0,1.172
American Samoa,ASM,WPRO,REPORTING,2022-05-12,108220.0,44456.0,196.061,80.541,40945.0,74.18,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2020-12-21,3.0,22893.0,41.475
Andorra,AND,EURO,REPORTING,2022-05-22,152991.0,57878.0,198.0,75.978,53442.0,70.155,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2021-01-20,3.0,41671.0,54.703
Angola,AGO,AFRO,REPORTING,2022-05-22,18431807.0,12337467.0,56.081,37.538,6555241.0,19.945,SII - Covishield,2021-03-10,1.0,431381.0,1.313
Anguilla,AIA,AMRO,REPORTING,2022-05-20,23482.0,10707.0,156.526,71.37,10005.0,66.691,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",2021-02-05,2.0,2770.0,18.464
Antigua and Barbuda,ATG,AMRO,REPORTING,2022-05-20,135715.0,63995.0,138.585,65.348,61882.0,63.191,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-03-01,6.0,9838.0,10.046
Argentina,ARG,AMRO,REPORTING,2022-05-20,100976399.0,41073140.0,223.42,90.878,37397347.0,82.745,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2020-12-29,7.0,22819753.0,50.491
Armenia,ARM,EURO,REPORTING,2022-05-15,2149233.0,1129504.0,72.5,38.117,985251.0,33.249,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac,Wuhan CNBG - Inactivated",2021-06-16,8.0,40567.0,1.369
Aruba,ABW,AMRO,REPORTING,2022-05-20,170892.0,88674.0,160.062,83.055,82218.0,77.008,"Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty",2021-02-17,2.0,,
Australia,AUS,WPRO,REPORTING,2022-05-30,59172637.0,22318568.0,232.051,87.524,21612293.0,84.754,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",2021-02-21,5.0,13698525.0,53.72
Austria,AUT,EURO,REPORTING,2022-05-22,18345855.0,6827600.0,206.1,76.705,6617021.0,74.34,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Unknown Vaccine",2020-12-30,6.0,5252448.0,59.009
