COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100
Jamaica,JAM,AMRO,REPORTING,2022-05-06,1420563.0,792047.0,47.973,26.748,688645.0,23.256,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-03-10,5.0,37608.0,1.27
Japan,JPN,WPRO,REPORTING,2022-04-27,270695768.0,103153093.0,214.029,81.559,101458832.0,80.22,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",2021-02-17,4.0,66083843.0,52.25
Jersey,JEY,EURO,OWID,2022-05-01,232966.0,83237.0,216.117,77.217,80268.0,74.463,"Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,3.0,69461.0,64.437
Jordan,JOR,EMRO,REPORTING,2022-05-05,9901017.0,4764976.0,97.039,46.701,4486523.0,43.972,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-01-13,10.0,653646.0,6.406
Kazakhstan,KAZ,EURO,REPORTING,2022-05-01,24513997.0,10529186.0,130.6,56.076,10145531.0,54.033,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty,RIBSP - QazVac,Sinovac - CoronaVac",2021-04-07,5.0,3839280.0,20.447
Kenya,KEN,AFRO,REPORTING,2022-05-08,17927457.0,11711277.0,33.34,21.78,8315517.0,15.465,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-03-05,5.0,304280.0,0.566
Kiribati,KIR,WPRO,REPORTING,2022-04-15,144216.0,79764.0,120.734,66.777,58191.0,48.716,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV",2021-05-26,2.0,6261.0,5.242
Kosovo,XKX,EURO,REPORTING,2022-04-24,1825133.0,902249.0,101.6,50.246,821537.0,45.751,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,2.0,101347.0,5.644
Kuwait,KWT,EMRO,REPORTING,2022-05-10,7990026.0,3421731.0,187.095,80.124,3300602.0,77.287,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2020-12-28,10.0,1267693.0,29.684
Kyrgyzstan,KGZ,EURO,REPORTING,2022-05-01,2786644.0,1412449.0,42.7,21.649,1238165.0,18.978,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,RIBSP - QazVac",2021-03-31,6.0,136030.0,2.085
