date,S0,V0,I0,D0,beta,beta_v,gamma,theta,alpha,alpha0,pi,death_avg,recovery_case,new_full_vaccinated,new_boost_req,daily_case_non_vaccinated,daily_case_vaccinated,current_pol_N,daily_R0,avg_R0
2020-02-01,96504302,0,0,0,0.6932789209979154,0.0794077908922126,0.015569076015378089,0.04583533666225466,4.212035863679756e-06,0.0025773718076306787,4029,0.0,0.0,0.0,0.0,0.0,0.0,96504302,11.059739966993108,11.059739966993105
2020-02-02,96506558,0,0,0,0.6932789209979154,0.0794077908922126,0.015569076015378089,0.04583533666225466,4.212035863679756e-06,0.0025773718076306787,4029,0.0,0.0,0.0,0.0,0.0,0.0,96506558,11.059739966993108,11.059739966993105
2020-02-03,96508815,0,0,0,0.6932789209979154,0.0794077908922126,0.015569076015378089,0.04583533666225466,4.212035863679756e-06,0.0025773718076306787,4029,0.0,0.0,0.0,0.0,0.0,0.0,96508815,11.059739966993108,11.059739966993105
2020-02-04,96511071,0,0,0,0.6932789209979154,0.0794077908922126,0.015569076015378089,0.04583533666225466,4.212035863679756e-06,0.0025773718076306787,4029,0.0,0.0,0.0,0.0,0.0,0.0,96511071,11.059739966993108,11.059739966993105
2020-02-05,96513327,0,0,0,0.6932789209979154,0.0794077908922126,0.015569076015378089,0.04583533666225466,4.212035863679756e-06,0.0025773718076306787,4029,0.0,0.0,0.0,0.0,0.0,0.0,96513327,11.059739966993108,11.059739966993105
2020-02-06,96515584,0,0,0,0.6932789209979154,0.0794077908922126,0.015569076015378089,0.04583533666225466,4.212035863679756e-06,0.0025773718076306787,4030,0.0,0.0,0.0,0.0,0.0,0.0,96515584,11.059739966993108,11.059739966993105
2020-02-07,96517840,0,0,0,0.6932789209979154,0.0794077908922126,0.015569076015378089,0.04583533666225466,4.212035863679756e-06,0.0025773718076306787,4030,0.0,0.0,0.0,0.0,0.0,0.0,96517840,11.059739966993108,11.059739966993105
2020-02-08,96520096,0,0,0,0.6932789209979154,0.0794077908922126,0.015569076015378089,0.04583533666225466,4.212035863679756e-06,0.0025773718076306787,4030,0.0,0.0,0.0,0.0,0.0,0.0,96520096,11.059739966993108,11.059739966993105
2020-02-09,96522353,0,0,0,0.6932789209979154,0.0794077908922126,0.015569076015378089,0.04583533666225466,4.212035863679756e-06,0.0025773718076306787,4030,0.0,0.0,0.0,0.0,0.0,0.0,96522353,11.059739966993108,11.059739966993105
2020-02-10,96524609,0,0,0,0.6932789209979154,0.0794077908922126,0.015569076015378089,0.04583533666225466,4.212035863679756e-06,0.0025773718076306787,4030,0.0,0.0,0.0,0.0,0.0,0.0,96524609,11.059739966993108,11.059739966993105
2020-02-11,96526866,0,0,0,0.6932789209979154,0.0794077908922126,0.015569076015378089,0.04583533666225466,4.212035863679756e-06,0.0025773718076306787,4030,0.0,0.0,0.0,0.0,0.0,0.0,96526866,11.059739966993108,11.059739966993105
2020-02-12,96529123,0,0,0,0.6932789209979154,0.0794077908922126,0.015569076015378089,0.04583533666225466,4.212035863679756e-06,0.0025773718076306787,4030,0.0,0.0,0.0,0.0,0.0,0.0,96529123,11.059739966993108,11.059739966993105
2020-02-13,96531379,0,0,0,0.6932789209979154,0.0794077908922126,0.015569076015378089,0.04583533666225466,4.212035863679756e-06,0.0025773718076306787,4030,0.0,0.0,0.0,0.0,0.0,0.0,96531379,11.059739966993108,11.059739966993105
2020-02-14,96533636,0,0,0,0.6932789209979154,0.0794077908922126,0.015569076015378089,0.04583533666225466,4.212035863679756e-06,0.0025773718076306787,4030,0.0,0.0,0.0,0.0,0.0,0.0,96533636,11.059739966993108,11.059739966993105
2020-02-15,96535893,0,0,0,0.6932789209979154,0.0794077908922126,0.015569076015378089,0.04583533666225466,4.212035863679756e-06,0.0025773718076306787,4030,0.0,0.0,0.0,0.0,0.0,0.0,96535893,11.059739966993108,11.059739966993105
2020-02-16,96538150,0,0,0,0.6932789209979154,0.0794077908922126,0.015569076015378089,0.04583533666225466,4.212035863679756e-06,0.0025773718076306787,4030,0.0,0.0,0.0,0.0,0.0,0.0,96538150,11.059739966993108,11.059739966993105
2020-02-17,96540407,0,0,0,0.6932789209979154,0.0794077908922126,0.015569076015378089,0.04583533666225466,4.212035863679756e-06,0.0025773718076306787,4031,0.0,0.0,0.0,0.0,0.0,0.0,96540407,11.059739966993108,11.059739966993105
2020-02-18,96542664,0,0,0,0.6932789209979154,0.0794077908922126,0.015569076015378089,0.04583533666225466,4.212035863679756e-06,0.0025773718076306787,4031,0.0,0.0,0.0,0.0,0.0,0.0,96542664,11.059739966993108,11.059739966993105
2020-02-19,96544921,0,0,0,0.6932789209979154,0.0794077908922126,0.015569076015378089,0.04583533666225466,4.212035863679756e-06,0.0025773718076306787,4031,0.0,0.0,0.0,0.0,0.0,0.0,96544921,11.059739966993108,11.059739966993105
2020-02-20,96547178,0,0,0,0.6932789209979154,0.0794077908922126,0.015569076015378089,0.04583533666225466,4.212035863679756e-06,0.0025773718076306787,4031,0.0,0.0,0.0,0.0,0.0,0.0,96547178,11.059739966993108,11.059739966993105
2020-02-21,96549435,0,0,0,0.6932789209979154,0.0794077908922126,0.015569076015378089,0.04583533666225466,4.212035863679756e-06,0.0025773718076306787,4031,0.0,0.0,0.0,0.0,0.0,0.0,96549435,11.059739966993108,11.059739966993105
2020-02-22,96551692,0,0,0,0.6932789209979154,0.0794077908922126,0.015569076015378089,0.04583533666225466,4.212035863679756e-06,0.0025773718076306787,4031,0.0,0.0,0.0,0.0,0.0,0.0,96551692,11.059739966993108,11.059739966993105
2020-02-23,96553949,0,0,0,0.6932789209979154,0.0794077908922126,0.015569076015378089,0.04583533666225466,4.212035863679756e-06,0.0025773718076306787,4031,0.0,0.0,0.0,0.0,0.0,0.0,96553949,11.059739966993108,11.059739966993105
2020-02-24,96556207,0,0,0,0.6932789209979154,0.0794077908922126,0.015569076015378089,0.04583533666225466,4.212035863679756e-06,0.0025773718076306787,4031,0.0,0.0,0.0,0.0,0.0,0.0,96556207,11.059739966993108,11.059739966993105
2020-02-25,96558464,0,0,0,0.6932789209979154,0.0794077908922126,0.015569076015378089,0.04583533666225466,4.212035863679756e-06,0.0025773718076306787,4031,0.0,0.0,0.0,0.0,0.0,0.0,96558464,11.059739966993108,11.059739966993105
2020-02-26,96560721,0,0,0,0.6932789209979154,0.0794077908922126,0.015569076015378089,0.04583533666225466,4.212035863679756e-06,0.0025773718076306787,4031,0.0,0.0,0.0,0.0,0.0,0.0,96560721,11.059739966993108,11.059739966993105
2020-02-27,96562979,0,0,0,0.6932789209979154,0.0794077908922126,0.015569076015378089,0.04583533666225466,4.212035863679756e-06,0.0025773718076306787,4031,0.0,0.0,0.0,0.0,0.0,0.0,96562979,11.059739966993108,11.059739966993105
2020-02-28,96565236,0,0,0,0.6932789209979154,0.0794077908922126,0.015569076015378089,0.04583533666225466,4.212035863679756e-06,0.0025773718076306787,4032,0.0,0.0,0.0,0.0,0.0,0.0,96565236,11.059739966993108,11.059739966993105
2020-02-29,96567494,0,0,0,0.6932789209979154,0.0794077908922126,0.015569076015378089,0.04583533666225466,4.212035863679756e-06,0.0025773718076306787,4032,0.0,0.0,0.0,0.0,0.0,0.0,96567494,11.059739966993108,11.059739966993105
2020-03-01,96569752,0,0,0,0.6932789209979154,0.0794077908922126,0.015569076015378089,0.04583533666225466,4.212035863679756e-06,0.0025773718076306787,4032,0.0,0.0,0.0,0.0,0.0,0.0,96569752,11.059739966993108,11.059739966993105
2020-03-02,96572009,0,0,0,0.6932789209979154,0.0794077908922126,0.015569076015378089,0.04583533666225466,4.212035863679756e-06,0.0025773718076306787,4032,0.0,0.0,0.0,0.0,0.0,0.0,96572009,11.059739966993108,11.059739966993105
2020-03-03,96574267,0,0,0,0.6932789209979154,0.0794077908922126,0.015569076015378089,0.04583533666225466,4.212035863679756e-06,0.0025773718076306787,4032,0.0,0.0,0.0,0.0,0.0,0.0,96574267,11.059739966993108,11.059739966993105
2020-03-04,96576525,0,0,0,0.6932789209979154,0.0794077908922126,0.015569076015378089,0.04583533666225466,4.212035863679756e-06,0.0025773718076306787,4032,0.0,0.0,0.0,0.0,0.0,0.0,96576525,11.059739966993108,11.059739966993105
2020-03-05,96578783,0,0,0,0.6932789209979154,0.0794077908922126,0.015569076015378089,0.04583533666225466,4.212035863679756e-06,0.0025773718076306787,4032,0.0,0.0,0.0,0.0,0.0,0.0,96578783,11.059739966993108,11.059739966993105
2020-03-06,96581040,0,0,0,0.6932789209979154,0.0794077908922126,0.015569076015378089,0.04583533666225466,4.212035863679756e-06,0.0025773718076306787,4032,0.0,0.0,0.0,0.0,0.0,0.0,96581040,11.059739966993108,11.059739966993105
2020-03-07,96583298,0,0,0,0.6932789209979154,0.0794077908922126,0.015569076015378089,0.04583533666225466,4.212035863679756e-06,0.0025773718076306787,4032,0.0,0.0,0.0,0.0,0.0,0.0,96583298,11.059739966993108,11.059739966993105
2020-03-08,96585556,0,0,0,0.6932789209979154,0.0794077908922126,0.015569076015378089,0.04583533666225466,4.212035863679756e-06,0.0025773718076306787,4032,0.0,0.0,0.0,0.0,0.0,0.0,96585556,11.059739966993108,11.059739966993105
2020-03-09,96587814,0,0,0,0.6932789209979154,0.0794077908922126,0.015569076015378089,0.04583533666225466,4.212035863679756e-06,0.0025773718076306787,4033,0.0,0.0,0.0,0.0,0.0,0.0,96587814,11.059739966993108,11.059739966993105
2020-03-10,96590072,0,0,0,0.6932789209979154,0.0794077908922126,0.015569076015378089,0.04583533666225466,4.212035863679756e-06,0.0025773718076306787,4033,0.0,0.0,0.0,0.0,0.0,0.0,96590072,11.059739966993108,11.059739966993105
2020-03-11,96592331,0,0,0,0.6932789209979154,0.0794077908922126,0.015569076015378089,0.04583533666225466,4.212035863679756e-06,0.0025773718076306787,4033,0.0,0.0,0.0,0.0,0.0,0.0,96592331,11.059739966993108,11.059739966993105
2020-03-12,96594589,0,0,0,0.6932789209979154,0.0794077908922126,0.015569076015378089,0.04583533666225466,4.212035863679756e-06,0.0025773718076306787,4033,0.0,0.0,0.0,0.0,0.0,0.0,96594589,11.059739966993108,11.059739966993105
2020-03-13,96596846,0,1,0,1.0000000103523048,0.0794077908922126,0.015569076015378089,0.04583533666225466,4.212035863679756e-06,0.0025773718076306787,4033,0.0,0.0,0.0,0.0,1.0,0.0,96596847,15.942983720963943,11.059739966993105
2020-03-14,96599103,0,2,0,0.500000010352063,0.0794077908922126,0.015569076015378089,0.04583533666225466,4.212035863679756e-06,0.0025773718076306787,4033,0.0,0.0,0.0,0.0,1.0,0.0,96599105,7.982585946797465,11.059739966993105
